study_id,site_id,species_code,code_type
Dontis_et_al_2020,Mangrove_Bay,Avivennia germinans pneumatophore,Genus species
Dontis_et_al_2020,Perico_Preserve2,Cyperus esculentus,Genus species
Dontis_et_al_2020,Perico_Preserve2,Cyperus rotundus,Genus species
Dontis_et_al_2020,Perico_Preserve2,Dichanthelium sp.,Genus
Dontis_et_al_2020,Perico_Preserve,Distichlis spicata,Genus species
Dontis_et_al_2020,Perico_Preserve2,Panicum sp.,Genus
Dontis_et_al_2020,Mangrove_Bay,Schinus terebinthifolius seedling,Genus species
Dontis_et_al_2020,Perico_Preserve2,Scoparia dulcis,Genus species
Dontis_et_al_2020,Clam_Bayou,Seutera angustifola,Genus species
Dontis_et_al_2020,Perico_Preserve2,Spartina bakeri,Genus species
Dontis_et_al_2020,Clam_Bayou,Suaeda linearis,Genus species
Dontis_et_al_2020,Harbor_Palms,Triglochin striata,Genus species
Dontis_et_al_2020,Bishop_Harbor,Vigna luteola,Genus species
