core_id,δ15N,δ13C,N %,OC %,C/N,δ13C/δ15N,g OC/gsed,g N/gsed,dbd_gsed/cc,dbd_gC/CC,Mass Depth,OM%,Porosity,LOW ,137Cs,226Ra,210Pbex,error,Age (y),Year of,Rate,Mass Acc. Rate,Carbon Acc. Rate,Total Mass Acc.,Total Carbon Acc.
M 0-2 ,1.92,-25.15,1.1,13.18,11.8,-13.1,0.13,0.011,0.36,0.047,0.179,59.26,0.82,M 0-2 ,11.07,40.71,271.97,41.22,7.1,2004.2,2.5,896.82,118.22,1785.8,470.8
M 2-3 ,1.51,-24.87,1.17,14.62,12.5,-16.5,0.15,0.012,0.45,0.066,0.628,51.34,0.53,M 2-3 ,13.76,50.65,253.28,40.32,5,1999.2,2.3,1037.38,151.67,4494.7,657.1
M 3-4 ,1.52,-24.81,1.15,14.1,12.7,-16.3,0.14,0.011,0.47,0.066,1.096,48.24,0.54,M 3-4 ,12.56,46.64,243.84,39.64,6,1993.2,1.8,857.31,120.9,4675.5,659.3
M 4-5 ,1.36,-25.07,1.19,13.91,11.7,-18.4,0.14,0.012,0.47,0.065,1.565,58.61,0.65,M 4-5 ,13.57,51.23,189.44,35.76,5.6,1987.6,1.7,801.76,111.53,4689.8,652.4
M 5-6 ,1.03,-25.01,0.74,9.18,12.9,-24.3,0.09,0.007,0.46,0.042,2.024,43.34,0.56,M 5-6 ,14.54,46.49,215.45,35.1,7.6,1980,1.6,712.59,65.44,4596.3,422.1
M 6-7 ,1.13,-25.9,1.15,14.12,11.7,-22.9,0.14,0.012,0.45,0.064,2.476,55.27,0.59,M 6-7 ,13.55,37.95,164.46,35.06,7.2,1972.7,1.3,599.52,84.65,4519.6,638.1
M 7-8 ,1.04,-26.23,1.2,15.01,12.5,-25.2,0.15,0.012,0.47,0.071,2.948,46.95,0.58,M 7-8 ,8.19,36.38,128.83,31.33,7.4,1965.3,1.4,638.89,95.92,4723.1,709.1
M 8-9,0.93,-26.17,0.98,14.44,14,-28.1,0.14,0.01,0.46,0.067,3.41,39.09,0.53,M 8-9,9.22,24.96,102.14,24.71,7.2,1958.1,1.3,622.09,89.85,4612.7,666.2
M 9-10,0.69,-26.2,0.81,12.03,15,-38,0.12,0.008,0.47,0.057,3.881,32.95,0.57,M 9-10,5.54,28.29,72.42,26.86,6.5,1951.6,1.4,672,80.83,4716,567.2
M 10-11 ,0.83,-26.7,0.91,13.73,15.6,-32.2,0.14,0.009,0.5,0.069,4.385,44.15,0.62,M 10-11 ,5.07,28.43,19.63,26.49,2.2,1949.4,2.1,1062.85,145.88,5037,691.4
M 11-12,0.66,-26.31,0.96,13.94,14,-39.9,0.14,0.01,0.47,0.065,4.852,43.91,0.61,M 11-12,2.91,37.03,43.78,29.5,5,1944.4,2.9,1344,187.29,4671.8,651
M 12-13,0.43,-26.39,0.96,14.25,14,-61.4,0.14,0.01,0.5,0.071,5.354,40.07,0.59,M 12-13,5.16,23.53,32.99,25.02,4.7,1939.7,2,1022.15,145.68,5013.2,714.5
M 13-14,0.36,-26.53,0.78,11.77,15,-73.7,0.12,0.008,0.48,0.056,5.829,37.97,0.54,M 13-14,2.8,28.67,53.16,28.84,8.8,1930.9,1.6,739.96,87.07,4754.1,559.4
M 14-15,0.57,-26.8,1.11,16.9,15.5,-47,0.17,0.011,0.48,0.081,6.305,37.12,0.56,M 14-15,2.28,27.9,11.44,20.37,2.3,1928.6,1.6,770.62,130.27,4764.4,805.4
M 15-16,0.53,-26.45,0.77,11.35,13.8,-49.9,0.11,0.008,0.54,0.061,6.842,33.98,0.56,M 15-16,8.04,27.57,33.05,22.32,8.8,1919.9,2.1,1103.36,125.22,5368.3,609.2
M 16-17,0.46,-26.28,0.8,12.06,15,-57.1,0.12,0.008,0.54,0.065,7.383,30.79,0.54,M 16-17,1.11,25.39,25.99,17.37,9.2,1910.7,1.1,599.68,72.32,5412.1,652.7
M 17-18,0.5,-26.48,0.6,10.45,16.7,-53,0.1,0.006,0.58,0.061,7.963,32.6,0.53,M 17-18,1.57,22.91,31.78,20.74,18.2,1892.5,0.8,474.43,49.58,5799.4,606
M 18-19,0.32,-26.65,0.79,14.46,17.5,-83.3,0.14,0.008,0.56,0.082,8.527,29.95,0.53,M 18-19,,,,,,,,,,5637.5,815.2
M 19-20,0.39,-26.22,0.72,12.03,17.1,-67.2,0.12,0.007,0.55,0.066,9.077,33.72,0.55,M 19-20,,,,,,,,,,5503.2,662.2
M 20-21,0.02,-26.25,0.59,9.09,15,-1312.5,0.09,0.006,0.55,0.05,9.625,27.95,0.47,M 20-21,,,,,,,,,,5478,498
M 21-22,0.05,-26.32,0.6,10.01,16.7,-526.4,0.1,0.006,0.55,0.055,10.171,22.19,0.51,M 21-22,,,,,,,,,,5458.5,546.6
M 22-23,0.02,-26.33,0.51,8.92,18,-1316.5,0.09,0.005,0.56,0.05,10.727,22.49,0.55,M 22-23,,,,,,,,,,5557.1,495.7
M 23-24,0.45,-26.22,0.52,9.65,20,-58.3,0.1,0.005,0.58,0.056,11.311,25.39,0.53,M 23-24,,,,,,,,,,5839.2,563.7
M 24-25,0.07,-26.18,0.48,8.81,18,-374,0.09,0.005,0.57,0.05,11.876,23.67,0.53,M 24-25,,,,,,,,,,5651.1,497.7
M 25-26,0.16,-26.14,0.49,9.16,18,-163.4,0.09,0.005,0.58,0.053,12.452,25.7,0.51,M 25-26,,,,,,,,,,5763.2,528
M 26-27 ,0.22,-26.23,0.55,10.93,18.3,-119.2,0.11,0.006,0.64,0.07,13.093,28.46,0.5,M 26-27 ,,,,,,,,,,6410.4,700.7
M 27-28 ,0.14,-26.17,0.5,9.75,20,-186.9,0.1,0.005,0.62,0.06,13.711,24.88,0.51,M 27-28 ,,,,,,,,,,6182.2,602.9
M 28-29 ,0.11,-25.81,0.46,7.79,16,-234.6,0.08,0.005,0.61,0.048,14.326,24.3,0.52,M 28-29 ,,,,,,,,,,6142.9,478.6
M 29-30,0.16,-25.41,0.57,8.7,15,-158.8,0.09,0.006,0.58,0.05,14.906,24.28,0.48,M 29-30,,,,,,,,,,5802.1,505
M 30-31,-0.22,-25.3,0.47,7.26,14,115,0.07,0.005,0.62,0.045,15.522,22.38,0.47,M 30-31,,,,,,,,,,6165.4,447.8
M 31-32,0.08,-25.3,0.48,7.68,16,-316.3,0.08,0.005,0.57,0.044,16.091,20.75,0.52,M 31-32,,,,,,,,,,5688.1,436.7
M 32-33,-0.15,-25.09,0.4,6.39,15,167.3,0.06,0.004,0.62,0.04,16.712,18.38,0.5,M 32-33,,,,,,,,,,6207.8,396.4
M 33-35 ,-0.2,-25.18,0.4,6.52,17.5,125.9,0.07,0.004,0.56,0.036,17.268,19.56,0.72,M 33-35 ,,,,,,,,,,2780.1,362.8
MC 0-1,1.89,-23.71,0.92,10.9,12.2,-12.5,0.11,0.009,0.49,0.054,0.493,32.06,0.58,MC 0-1,N/A,41.88,92.54,59.23,2.9,2008.4,3.2,1573.05,171.44,4928.6,537.1
MC 1-2,1.65,-23.74,0.94,11.33,12.2,-14.4,0.11,0.009,0.47,0.053,0.96,33.01,0.5,MC 1-2,N/A,44.96,107,60.74,3.6,2004.8,3.1,1445.84,163.81,4671.9,529.3
MC 2-3,1.9,-23.85,1.02,11.76,12,-12.6,0.12,0.01,0.49,0.058,1.453,33.99,0.6,MC 2-3,N/A,16.72,123.24,30.81,4.9,1999.9,2.4,1183.46,139.21,4933.8,580.4
MC 3-4,1.65,-23.76,1.07,12.79,11.8,-14.4,0.13,0.011,0.5,0.063,1.949,35.19,0.55,MC 3-4,N/A,53.29,88.95,83.99,4.1,1995.7,2.2,1074.02,137.41,4958.6,634.4
MC 4-5,1.78,-23.91,1.05,12.36,12,-13.4,0.12,0.01,0.48,0.059,2.429,36.72,0.56,MC 4-5,N/A,26.03,78.01,43.81,4,1991.7,2.5,1177.37,145.49,4800.2,593.2
MC 5-6,1.55,-24,1.07,12.93,11.8,-15.5,0.13,0.011,0.51,0.066,2.937,34.74,0.58,MC 5-6,N/A,60.51,99.8,97.72,6.3,1985.4,2,1020.18,131.89,5076.1,656.2
MC 6-7,1.57,-24.04,0.97,11.75,12,-15.3,0.12,0.01,0.48,0.057,3.42,34.88,0.55,MC 6-7,N/A,64.28,70.24,92.84,5.1,1980.3,1.7,830.55,97.61,4826.1,567.2
MC 7-8,1.5,-23.97,1.01,12,12,-16,0.12,0.01,0.46,0.056,3.884,33.87,0.55,MC 7-8,N/A,39.98,76.78,54.07,6.4,1974,1.8,825.76,99.08,4647,557.6
MC 8-9,1.5,-24.23,1.03,12.7,13,-16.2,0.13,0.01,0.51,0.065,4.395,36.48,0.56,MC 8-9,N/A,23.7,56.94,34.33,6.3,1967.7,1.6,794.82,100.93,5107.4,648.5
MC 9-10,1.63,-24.26,0.94,11.67,13.3,-14.9,0.12,0.009,0.52,0.06,4.912,33.57,0.57,MC 9-10,N/A,57.05,72.72,82.25,10.6,1957.1,1.3,646.56,75.48,5165.6,603
