Core ID,Lat (N),Long (W),Extraction date
M,30 03.951 ,083 57.419,4/12/2011
MC,30 04.116,083 57.232,4/12/2011
HE,30 04.314,083 57.076,4/12/2011
HI,30 04.304,083 57.014,5/26/2013
S,30 04.605,083 56.854,5/26/2013
F,30 04.665,083 56.766,5/26/2013
