study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_notes,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,0,1,MB1001,0.29637833502572747,0.5557299843014128,0.2639800623742827,compression corrected max depth: 1.42666666666667,38.920854604539784,3.309346812297414,57.34585460453978,3.008409268045665,becquerelsPerKilogram,NA,NA,NA,-28.065385642042063
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,1,2,MB1002,0.14868254783644866,0.5622350674373807,0.2732309212169248,compression corrected max depth: 2.85333333333333,39.20803724063425,3.454089649452923,57.633037240634245,3.166936264981949,becquerelsPerKilogram,NA,NA,NA,-27.651032333723705
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,2,3,MB1003,0.1600143797845916,0.5408252853380154,0.2539000435307016,compression corrected max depth: 4.28,37.120829673338534,3.2466116283720647,55.54582967333853,2.9392579106775765,becquerelsPerKilogram,NA,NA,NA,-27.2350259598009
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,3,4,MB1004,0.13760536379725272,0.4998009554140102,0.2464987196327745,compression corrected max depth: 5.70666666666667,35.647897377880405,2.790259051012581,54.0728973778804,2.4257567008580296,becquerelsPerKilogram,NA,NA,NA,-26.940123066710225
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,4,5,MB1005,0.48201666064811416,0.3916273753393344,NA,compression corrected max depth: 7.13333333333333,11.239628965308388,2.0434343543619193,29.664628965308385,1.5081027685759734,becquerelsPerKilogram,17.45,1.49,becquerelsPerKilogram,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,5,6,MB1006,0.6943930167099392,0.3495819935691333,0.16868954700034194,compression corrected max depth: 8.56,4.9256157165551215,1.9911121032885524,23.35061571655512,1.4364112948115397,becquerelsPerKilogram,NA,NA,NA,-26.121186057265156
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,6,7,MB1007,0.4622814477047192,0.33606302477454114,NA,compression corrected max depth: 9.98666666666667,1.8207736774172076,1.833297304656149,20.245773677417205,1.2081924545615663,becquerelsPerKilogram,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,7,8,MB1008,0.5972448394466464,0.3306289968502431,0.15514841302155877,compression corrected max depth: 11.4133333333333,1.8279834397868022,1.7473400156554304,20.2529834397868,1.073287999704982,becquerelsPerKilogram,NA,NA,NA,-26.254360933038132
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,8,9,MB1009,0.7623840083987969,0.3208722741433034,NA,compression corrected max depth: 12.84,2.7893462097121393,1.8569692473059498,21.214346209712136,1.2438186304441765,becquerelsPerKilogram,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,9,10,MB1010,0.5762363869585162,0.33382414808582167,0.14778563551402174,compression corrected max depth: 14.2666666666667,0.18970621198456072,1.8183820577234096,18.614706211984558,1.1854380236226705,becquerelsPerKilogram,NA,NA,NA,-26.44251321669242
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,10,11,MB1011,0.7318262593251531,0.3243706480985531,NA,compression corrected max depth: 15.6933333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,11,12,MB1012,0.7998172510140108,0.32111165285226645,NA,compression corrected max depth: 17.12,NA,NA,17.590196683678723,1.0319379371789854,becquerelsPerKilogram,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,12,13,MB1013,0.6420628714213241,0.3221021068413155,NA,compression corrected max depth: 18.5466666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,13,14,MB1014,0.7128549901085992,0.3227736993297157,NA,compression corrected max depth: 19.9733333333333,NA,NA,18.150684805403245,1.1881862530324059,becquerelsPerKilogram,19.4,1.66,becquerelsPerKilogram,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,14,15,MB1015,0.7888673909292885,0.3214010777521171,0.1374364798014814,compression corrected max depth: 21.4,NA,NA,NA,NA,NA,NA,NA,NA,-26.40823280882505
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,15,16,MB1016,0.801345138467693,0.31749764816556914,NA,compression corrected max depth: 22.8266666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,16,17,MB1017,0.7067434402938704,0.3204658184170809,NA,compression corrected max depth: 24.2533333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,17,18,MB1018,0.7551265429938065,0.3196557097276839,NA,compression corrected max depth: 25.68,NA,NA,17.2601822737058,1.0816992949872357,becquerelsPerKilogram,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,18,19,MB1019,0.8420888038992183,0.31956391278255675,NA,compression corrected max depth: 27.1066666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,19,20,MB1020,0.6835704805796905,0.3290548424737454,0.1447997929929462,compression corrected max depth: 28.5333333333333,NA,NA,16.893699536384375,0.9007489829702449,becquerelsPerKilogram,NA,NA,NA,-26.51686464093141
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,20,22,MB1022,0.8517176779562778,NA,NA,compression corrected max depth: 31.3866666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,22,24,MB1024,0.6630872394037636,NA,NA,compression corrected max depth: 34.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,24,26,MB1026,0.5992979382125319,NA,NA,compression corrected max depth: 37.0933333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,26,28,MB1028,0.8184224638614532,NA,NA,compression corrected max depth: 39.9466666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,28,30,MB1030,0.8381564035653036,0.3246303642264698,0.15449014307197836,compression corrected max depth: 42.8,NA,NA,NA,NA,NA,NA,NA,NA,-26.575053544570025
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,30,32,MB1032,0.6448799139140508,NA,NA,compression corrected max depth: 45.6533333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,32,34,MB1034,0.8679514821516511,NA,NA,compression corrected max depth: 48.5066666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,34,36,MB1036,0.7349616117040635,NA,NA,compression corrected max depth: 51.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,36,38,MB1038,0.8732990882395387,NA,NA,compression corrected max depth: 54.2133333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,38,40,MB1040,0.5588693995683287,0.38078291814946685,0.18326671843884557,compression corrected max depth: 57.0666666666667,NA,NA,NA,NA,NA,NA,NA,NA,-26.77136323461552
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,40,42,MB1042,0.7111520322175159,NA,NA,compression corrected max depth: 59.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,42,44,MB1044,0.6863238610951803,NA,NA,compression corrected max depth: 62.7733333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,44,46,MB1046,0.5397103275189263,NA,NA,compression corrected max depth: 65.6266666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,46,48,MB1048,0.48273285789202774,NA,NA,compression corrected max depth: 68.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,48,50,MB1050,0.3243055711999486,0.4697478991596633,0.23997701857375073,compression corrected max depth: 71.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-26.893126116716523
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,50,52,MB1052,0.5092162404225191,NA,NA,compression corrected max depth: 74.1866666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,52,54,MB1054,0.400545245279373,NA,NA,compression corrected max depth: 77.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,54,56,MB1056,0.4561858133842996,NA,NA,compression corrected max depth: 79.8933333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,56,58,MB1058,0.4472094745939167,NA,NA,compression corrected max depth: 82.7466666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,58,60,MB1060,0.47744764054183203,0.48131741140215667,0.24261866978512592,compression corrected max depth: 85.6,NA,NA,NA,NA,NA,NA,NA,NA,-26.998020283166674
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,60,62,MB1062,0.5292061012748611,NA,NA,compression corrected max depth: 88.4533333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,62,64,MB1064,0.455549193611932,NA,NA,compression corrected max depth: 91.3066666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,64,66,MB1066,0.43161229017091096,NA,NA,compression corrected max depth: 94.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,single set of methods,66,68,MB1068,0.45650412327048334,NA,NA,compression corrected max depth: 97.0133333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,single set of methods,0,1,MB2001,0.12838099794355542,0.7967061785377102,0.3784088521886517,compression corrected max depth: 1.09183673469388,40.194949794159825,2.770585161650233,55.31494979415982,2.3966731395741987,becquerelsPerKilogram,NA,NA,NA,-29.191472024935713
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,single set of methods,1,2,MB2002,0.15842945119930524,0.7463838936669275,0.3386712787965308,compression corrected max depth: 2.18367346938776,39.02925495801241,2.8386605883620932,54.149254958012406,2.475054329892624,becquerelsPerKilogram,NA,NA,NA,-29.094457039576163
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,single set of methods,2,3,MB2003,0.17803734018822673,0.624882285235953,0.28844160779362055,compression corrected max depth: 3.27551020408163,29.120157543548174,2.4140491829662194,44.24015754354817,1.9737105810578892,becquerelsPerKilogram,NA,NA,NA,-28.40705938854459
