bibtype,doi,url,year,publisher,author,title,journal,volume,pages,note,issn,keywords,abstract
Misc,10.3133/ofr20161125,https://doi.org/10.3133/ofr20161125,2016,{US} Geological Survey,Karen M. Thorne and Glen M. MacDonald and Rich F. Ambrose and Kevin J. Buffington and Chase M. Freeman and Christopher N. Janousek and Lauren N. Brown and James R. Holmquist and Glenn R. Guntenspergen and Katherine W. Powelson and Patrick L. Barnard and John Y. Takekawa,Effects of climate change on tidal marshes along a latitudinal gradient in California,NA,NA,NA,NA,NA,NA,NA
Article,https://doi.org/10.1016/j.quaint.2021.05.002,https://www.sciencedirect.com/science/article/pii/S1040618221002871,2021,NA,Elizabeth Fard and Lauren N. Brown and Scott Lydon and John P. Smol and Glen M. MacDonald,"High-resolution sedimentological and geochemical records of three marshes in San Francisco Bay, California",Quaternary International,602,49-65,"Multi-Proxy Approaches in Marine, Coastal, and Deltaic Environments Worldwide",1040-6182,"San Francisco Bay, Salt marsh sedimentation, Heavy metals, European impacts, Holocene, Paleoenvironmental reconstruction","The San Francisco Bay has the largest concentration of salt marshes in the state of California. In the last 170 years, the vast majority of the historic tidal wetlands in the Bay have been significantly altered or destroyed due to diking, filling and other processes. Many of the remaining marshes have been impacted by changing sedimentation regimes and related loadings of pollutants such as heavy metals (Sr, Al, Fe, Ti, Cu, Pb, Ni, Zn) over this period, making ecological trajectories and resilience to disturbance uncertain. Here we examine changing sediment accretion rates, coupled with the longest and highest resolution heavy metal accumulation data from three San Francisco Bay marshes, to examine European impacts in the context of earlier Holocene variability. The results are consistent with larger-scale analyses and indicate that European alterations of landscapes and shorelines had geographically variable impacts on marsh sediment accumulation. Despite differential impacts on net sediment accretion, initial European impacts appear to have decreased the proportion of organic material in the marsh sediments, likely due to the delivery of eroded inorganic sediment from landscapes and shorelines. The results confirm significant European impacts on the geochemistry of marshes in the San Francisco Bay over the last ~150–200 years. Post-European arrival levels of Pb are unprecedented throughout the earlier Holocene. However, these values have declined in recent years. Concentrations of Sr, Ti, Cu, Ni, and Zn also increased following European arrival. Our results show that post-European concentrations are not so far removed compared to pre-European maximum concentrations. As sedimentation regimes and emissions of Pb and delivery of other metals have decreased, and as organic productivity increased on the marshes, environmental trajectories are shifting back towards their immediate pre-European conditions."
Book,NA,NA,2019,"University of California, Los Angeles",Lauren Nicole Brown,"California salt marsh accretion, ecosystem services, and disturbance responses in the face of climate change",NA,NA,NA,NA,NA,NA,NA
