study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,elevation_notes,salinity_class,vegetation_class,vegetation_method,inundation_class,core_length_flag,habitat
Brown_et_al_2026,Bodega Bay,BOD13-02,2013,7,23,38.3156,-123.03665,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,marsh
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,2013,7,22,37.91953333,-122.6884,handheld,1.72522,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,marsh
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,2013,7,22,37.91855,-122.6879667,handheld,1.59668,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,marsh
Brown_et_al_2026,Bolinas Lagoon,BOL13-03,2013,7,22,37.91853333,-122.6875667,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,marsh
Brown_et_al_2026,Bolinas Lagoon,BOL13-04,2013,7,22,37.9177,-122.6885833,handheld,1.58503,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,low,not specified,marsh
Brown_et_al_2026,Eureka,ERK13-01,2013,7,24,40.80676667,-124.1380667,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,marsh
Brown_et_al_2026,Hookton Slough,HKS16-01,2016,7,19,40.6775833,-124.2176,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,marsh
Brown_et_al_2026,Hookton Slough,HKS16-02,2016,7,19,40.67775,-124.2172,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,marsh
Brown_et_al_2026,Hookton Slough,HKS17-03,2016,7,1,40.67743,-124.21741,other low resolution,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,marsh
Brown_et_al_2026,Jacoby,JCB13-01,2013,7,24,40.84571667,-124.0837,handheld,NA,NA,NA,NA,saline,emergent,measurement,mid,not specified,marsh
