study_id,genus,species,n_plants,height,height_unit,carbon_conversion_factor,carbon_conversion_factor_source,plant_mass_organic_matter,plant_mass_organic_matter_unit,allometric_eq_present
Dontis_et_al_2020,Dichanthelium,species,1,10.5,cm,0.411,Radabaugh et al. 2017,0.158,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,9,cm,0.411,Radabaugh et al. 2017,0.077,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,9,cm,0.411,Radabaugh et al. 2017,0.136,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,13.5,cm,0.411,Radabaugh et al. 2017,0.241,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,5,cm,0.411,Radabaugh et al. 2017,0.041,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,8,cm,0.411,Radabaugh et al. 2017,0.21,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,6.5,cm,0.411,Radabaugh et al. 2017,0.038,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,9.5,cm,0.411,Radabaugh et al. 2017,0.098,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,8,cm,0.411,Radabaugh et al. 2017,0.07,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,10,cm,0.411,Radabaugh et al. 2017,0.102,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,8,cm,0.411,Radabaugh et al. 2017,0.053,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,11,cm,0.411,Radabaugh et al. 2017,0.151,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,8.5,cm,0.411,Radabaugh et al. 2017,0.106,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,10,cm,0.411,Radabaugh et al. 2017,0.168,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,10.5,cm,0.411,Radabaugh et al. 2017,0.15,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,12.5,cm,0.411,Radabaugh et al. 2017,0.092,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,9.5,cm,0.411,Radabaugh et al. 2017,0.121,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,7.5,cm,0.411,Radabaugh et al. 2017,0.113,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,8,cm,0.411,Radabaugh et al. 2017,0.118,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,7.5,cm,0.411,Radabaugh et al. 2017,0.09,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,8.5,cm,0.411,Radabaugh et al. 2017,0.062,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,7,cm,0.411,Radabaugh et al. 2017,0.063,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,5.5,cm,0.411,Radabaugh et al. 2017,0.045,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,7.5,cm,0.411,Radabaugh et al. 2017,0.128,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,5.5,cm,0.411,Radabaugh et al. 2017,0.068,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,6,cm,0.411,Radabaugh et al. 2017,0.126,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,6,cm,0.411,Radabaugh et al. 2017,0.062,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,5,cm,0.411,Radabaugh et al. 2017,0.065,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,10,cm,0.411,Radabaugh et al. 2017,0.229,g,yes
Dontis_et_al_2020,Dichanthelium,species,1,14,cm,0.411,Radabaugh et al. 2017,0.223,g,yes
