,Depth (cm),,weight,volume,Bulk density,avgerage LOI,OC,OC,Latitude,Longitude,,,,,,,,
Sample,upper,lower,g,cc,g/cc,%,%,g/cc,,,,,,,,,,
A2,0,26,132.596,127.660,1.039,5.483,2.193,0.023,45.857,-64.301,,,,,,,,
A3,0,15,67.797,73.650,0.921,5.187,2.075,0.019,45.857,-64.301,,,,,,,,
A3,15,30,74.146,73.650,1.007,4.963,1.985,0.020,45.857,-64.301,,,,,,,,
A4,0,43,188.520,211.130,0.893,5.285,2.114,0.019,45.857,-64.301,,,,,,,,
A5a,0,45,178.984,220.950,0.810,5.517,2.207,0.018,45.857,-64.301,,,,,,,,
A6b,0,20,100.050,98.200,1.019,7.147,2.859,0.029,45.857,-64.301,,,,,,,,
A7,0,29,132.059,142.390,0.927,5.923,2.369,0.022,45.857,-64.301,,,,,,,,
A9,0,21,769.897,708.750,1.086,5.430,2.172,0.024,45.857,-64.301,,,,,,,,
A10b,0,10,38.220,49.100,0.778,6.905,2.762,0.022,45.857,-64.301,,,,,,,,
A11a,0,15,72.880,73.650,0.990,6.396,2.559,0.025,45.857,-64.301,,,,,,,,
B1,41,96,509.705,583.000,0.874,5.568,2.227,0.019,45.851,-64.294,,,,,,,,
B2,0,50,446.772,530.000,0.843,5.454,2.182,0.018,45.851,-64.294,,,,,,,,
B2,51,94,441.918,455.800,0.970,5.669,2.268,0.022,45.851,-64.294,,,,,,,,
B3,0,50,513.895,530.000,0.970,5.569,2.228,0.022,45.851,-64.294,,,,,,,,
B3,50,87,459.148,392.200,1.171,5.910,2.364,0.028,45.851,-64.294,,,,,,,,
B4,0,50,576.150,530.000,1.087,5.392,2.157,0.023,45.851,-64.294,,,,,,,,
B4,50,76,342.800,275.600,1.244,5.390,2.156,0.027,45.851,-64.294,,,,,,,,
B5,0,50,525.082,530.000,0.991,5.079,2.032,0.020,45.851,-64.294,,,,,,,,
B5,50,76,338.558,275.600,1.228,5.226,2.090,0.026,45.851,-64.294,,,,,,,,
B6,0,12,93.543,127.200,0.735,5.662,2.265,0.017,45.851,-64.294,,,,,,,,
B7,0,36,368.380,381.600,0.965,5.147,2.059,0.020,45.851,-64.294,,,,,,,,
B8,0,36,421.550,381.600,1.105,5.480,2.192,0.024,45.851,-64.294,,,,,,,,
B9,0,49,482.020,519.400,0.928,5.179,2.072,0.019,45.851,-64.294,,,,,,,,
B10,0,65,721.000,689.000,1.046,5.481,2.192,0.023,45.851,-64.294,,,,,,,,
A13,0,18,1082.634,882.000,1.227,4.861,1.944,0.024,45.857,-64.301,,,,,,,,
A5a,45,70,132.250,122.750,1.077,7.369,2.948,0.032,45.857,-64.301,,,,,,,,
A9,25,75,233.700,245.500,0.952,5.691,2.276,0.022,45.857,-64.301,,,,,,,,
B4,76,82.5,61.973,68.900,0.899,6.815,2.726,0.025,45.851,-64.294,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,
