study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,c14_age,c14_material,c14_notes,delta_c13,depth_interval_notes
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,23,26,NA,NA,NA,1041.5,shell,genus Mercenaria or Mya,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_3,Doyle_2018,26,30,NA,NA,NA,1617,shell,Mercenaria mercenaria,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_1,Doyle_2018,0,2,17028,0.933364035087719,0.004460899,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_1,Doyle_2018,10,12,17029,1.08885964912281,0.008826406491,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_1,Doyle_2018,20,22,17030,1.04554385964912,0.01065779889,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_1,Doyle_2018,30,32,17031,0.957473684210526,0.00983187295299999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_1,Doyle_2018,40,42,17032,1.30758114035088,0.00737021137999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_1,Doyle_2018,50,52,17033,1.3593399122807,0.007503212588,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_1,Doyle_2018,60,62,17034,1.17205701754386,0.010098214283,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_1,Doyle_2018,70,72,17035,1.28688157894737,0.00604753007999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,0,2,17036,1.32665789473684,0.003230976,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,10,12,17037,1.28404605263158,0.00940234934,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,20,22,17038,1.24751754385965,0.006702257601,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,30,32,17039,1.30518859649123,0.007813335006,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,40,42,17040,1.36094956140351,0.008215252699,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,50,52,17041,1.16999780701754,0.007191523259,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,60,62,17042,1.4052149122807,0.004994717443,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,70,72,17043,1.64430921052632,0.003468514328,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_2,Doyle_2018,80,82,17044,1.41747368421053,0.00224703421299999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_3,Doyle_2018,0,2,17045,0.984743421052632,0.00538336799999998,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_3,Doyle_2018,10,12,17046,1.30139035087719,0.00588649854,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_3,Doyle_2018,20,22,17047,1.4875,0.00430555398,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_3,Doyle_2018,30,32,17048,1.38262061403509,0.009125699439,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_3,Doyle_2018,40,42,17049,1.50928947368421,0.00695134901099999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_3,Doyle_2018,50,52,17050,1.60900438596491,0.0021045216609999998,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_3,Doyle_2018,60,62,17051,1.47642763157895,0.001101933486,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Broad_Cove_3,Doyle_2018,70,72,17052,1.74263157894737,0.00130504534799999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Sand_Core,Doyle_2018,0,2,17053,1.01770394736842,0.002173419731,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Sand_Core,Doyle_2018,10,12,17054,1.29114692982456,0.00134495756,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Sand_Core,Doyle_2018,20,22,17055,1.36696929824561,0.001411615196,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Sand_Core,Doyle_2018,30,32,17056,1.50095175438596,9.90194462e-4,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Sand_Core,Doyle_2018,40,42,17057,1.17417324561404,9.68830933e-4,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Sand_Core,Doyle_2018,50,52,17058,1.21090789473684,0.001351149757,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Broad_Cove,Sand_Core,Doyle_2018,60,62,17059,1.47861842105263,6.65700904e-4,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,77,77,NA,NA,NA,1045,shell,Mytilus edulis,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,3,5,16515,1.0202,0.024578658,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,7,9,16516,1.02925,0.027663906,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,10,12,16517,0.945270270270269,0.022999797,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,20,22,16518,0.80475,0.022940939,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,30,32,16519,0.894536585365854,0.03340136,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,40,42,16520,0.850155555555556,0.022532581,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,50,52,16521,0.953721518987342,0.017610709,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,60,62,16522,0.841780487804878,0.02100439199999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,70,72,16523,0.843,0.02154261,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,80,82,16524,0.828204081632653,0.022031747,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,90,92,16525,0.700829268292683,0.02015728499999999,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,100,102,16526,0.82919512195122,0.017402707,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,110,112,16527,0.692025316455696,0.02381669,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_1,Doyle_2018,120,122,16528,0.819296296296296,0.02440944,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,3,5,16529,1.0127,0.028276729,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,3,5,16541,1.0698064516129,0.013471142,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,7,9,16530,0.927903225806452,0.023191764,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,10,12,16531,1.09387878787879,0.021782263,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,20,22,16532,0.823127272727273,0.030110187,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,30,32,16533,0.789151515151515,0.02607083,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,40,42,16534,0.848783783783784,0.024925797,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,50,52,16535,0.9840625,0.022732297,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,60,62,16536,0.841566666666667,0.023441917,NA,NA,NA,NA,NA
Johnson_et_al_2024_eelgrass,Flying_Point,Flying_Point_2,Doyle_2018,70,72,16537,0.891241379310345,0.020280295,NA,NA,NA,NA,NA
