study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,compaction_flag,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,carbon_profile_notes,c14_counting_method
Johnson_et_al_2024_eelgrass,Doyle_2018,push core,roots and rhizomes included,sediment not sieved,not specified,NA,freeze dried,450,4,measured,NA,NA,EA,organic carbon,total carbon (unashed) and inorganic (ashed) carbon determined via EA and organic carbon calculated from the difference,AMS
Johnson_et_al_2024_eelgrass,Sonshine_2012,push core,roots and rhizomes included,sediment not sieved,not specified,2,freeze dried,450,4,measured,TRUE,direct acid treatment,EA,organic carbon,NA,NA
