"[Abbreviations: ID, identification; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment;  --, no reported value]",,,,,,,,,,,,,,,,,,
Sample ID,"Water 
Content 
(g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk 
Density 
(g/cm^3)","Loss On 
Ignition 
(g-OM/g-dry)",,,,,,,,,,,,,,
15CCT02-GB101G,0.24,0.45,1.37,0.014,,,,,,,,,,,,,,
15CCT02-GB102G,0.23,0.42,1.38,0.007,,,,,,,,,,,,,,
15CCT02-GB103G,0.33,0.55,1.11,0.018,,,,,,,,,,,,,,
15CCT02-GB104G,0.62,0.80,0.47,0.059,,,,,,,,,,,,,,
15CCT02-GB105G,0.44,0.66,0.84,0.026,,,,,,,,,,,,,,
15CCT02-GB106G,0.38,0.60,0.97,0.023,,,,,,,,,,,,,,
15CCT02-GB107G,0.36,0.58,1.02,0.016,,,,,,,,,,,,,,
15CCT02-GB108G,0.40,0.62,0.92,0.023,,,,,,,,,,,,,,
15CCT02-GB109G,0.26,0.47,1.29,0.011,,,,,,,,,,,,,,
15CCT02-GB110G,0.45,0.67,0.79,0.028,,,,,,,,,,,,,,
15CCT02-GB111G,0.62,0.80,0.44,0.063,,,,,,,,,,,,,,
15CCT02-GB112G,0.27,0.49,1.29,0.005,,,,,,,,,,,,,,
15CCT02-GB113G,0.30,0.52,1.17,0.019,,,,,,,,,,,,,,
15CCT02-GB114G,0.32,0.55,1.12,0.019,,,,,,,,,,,,,,
15CCT02-GB115G,0.33,0.56,1.11,0.022,,,,,,,,,,,,,,
15CCT02-GB116G,0.30,0.52,1.16,0.013,,,,,,,,,,,,,,
15CCT02-GB117G,0.48,0.70,0.73,0.034,,,,,,,,,,,,,,
15CCT02-GB118G,0.61,0.80,0.48,0.054,,,,,,,,,,,,,,
15CCT02-GB119G,0.33,0.55,1.10,0.017,,,,,,,,,,,,,,
15CCT02-GB120G,0.59,0.78,0.53,0.051,,,,,,,,,,,,,,
15CCT02-GB121G,0.51,0.72,0.68,0.033,,,,,,,,,,,,,,
15CCT02-GB144G,0.49,0.71,0.71,0.045,,,,,,,,,,,,,,
15CCT02-GB147G,0.53,0.74,0.64,0.054,,,,,,,,,,,,,,
15CCT02-GB148G,0.42,0.64,0.89,0.035,,,,,,,,,,,,,,
15CCT02-GB151G,0.57,0.77,0.55,0.069,,,,,,,,,,,,,,
15CCT02-GB152G,0.54,0.74,0.61,0.052,,,,,,,,,,,,,,
15CCT02-GB158G,0.55,0.75,0.60,0.052,,,,,,,,,,,,,,
15CCT02-GB159G,0.28,0.50,1.24,0.014,,,,,,,,,,,,,,
15CCT02-GB161G,0.48,0.69,0.74,0.037,,,,,,,,,,,,,,
15CCT02-GB162G,0.34,0.56,1.09,0.016,,,,,,,,,,,,,,
15CCT02-GB163G,0.33,0.55,1.08,0.016,,,,,,,,,,,,,,
15CCT02-GB165G,0.22,0.41,--,0.008,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
15CCT02-GB170S,0.27,0.48,1.32,--,,,,,,,,,,,,,,
15CCT02-GB171S,0.45,0.67,0.81,0.078,,,,,,,,,,,,,,
15CCT02-GB172S,0.55,0.75,0.62,--,,,,,,,,,,,,,,
15CCT02-GB173S,0.56,0.76,0.58,0.131,,,,,,,,,,,,,,
15CCT02-GB174S,0.59,0.78,0.35,0.350,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
