"[Abbreviations: ID, identification; cm, centimeter; ?, delta; ?, delta; C, carbon; --, no value reported]"												
Core ID	Depth (cm)	Accession Number	Date Reported	Sample Type	Analysis Type	Fraction Modern	Fraction Modern Error	Age	Age Error	?13C	?13C Source	?14C
14CCT01-GB36R	49	OS-120373  	08/18/2015	Plant/Wood	(OC) Organic Carbon	0.9871	0.0021	105	15	--	Not Measured	-20.53
14CCT01-GB36R	87	OS-120374  	08/18/2015	Plant/Wood	(OC) Organic Carbon	0.8305	0.002	1490	20	--	Not Measured	-175.95
14CCT01-GB53R	88	OS-120628  	08/26/2015	Plant/Wood	(OC) Organic Carbon	0.9138	0.0022	725	20	-23.82	Measured	-93.24
14CCT01-GB53R	60	OS-120631  	08/26/2015	Plant/Wood	(OC) Organic Carbon	0.9626	0.0022	305	20	-25.33	Measured	--
14CCT01-GB60R	84	OS-120627  	08/26/2015	Plant/Wood	(OC) Organic Carbon	0.9042	0.0023	810	20	-25.95	Measured	-102.81
14CCT01-GB64R	48	OS-120616  	08/26/2015	Plant/Wood	(OC) Organic Carbon	0.9638	0.0019	295	15	-23.42	Measured	--
14CCT01-GB64R	98	OS-120517  	08/24/2015	Plant/Wood	(OC) Organic Carbon	0.7986	0.002	1810	20	--	Not Measured	-207.52
