"[Abbreviations: ID, Identification; cm, centimeter; dpm/g, disintegrations per minute per gram; ND, not detected; Tr, trace quantity, too low to quantify; --, no reported value; Lc, critical level]",,,,,,,,,,,
Core ID,"Depth
 (cm)","Cs-137 
(dpm/g)","Cs-137 Error 
(+/- dpm/g)","Pb-210 
(dpm/g)","Pb-210 Error 
(+/- dpm/g)","Ra-226 
(dpm/g)","Ra-226 Error 
(+/- dpm/g)","Th-234 
(dpm/g)","Th-234 Error 
(+/- dpm/g)","K-40 
(dpm/g)","K-40 Error 
(+/- dpm/g)"
14CCT01-GB36M,0-1,0.17,0.11,6.82,0.48,1.34,0.17,4.27,0.53,14.31,2.42
14CCT01-GB36M,2-Jan,0.21,0.08,6.82,0.38,1.46,0.13,5.45,0.47,11.29,1.86
14CCT01-GB36M,3-Feb,0.17,0.11,6.36,0.45,1.58,0.16,6.24,0.55,13.2,2.14
14CCT01-GB36M,4-Mar,0.11,0.07,6.57,0.36,1.62,0.13,5.97,0.41,11.27,1.68
14CCT01-GB36M,5-Apr,0.2,0.12,6.04,0.56,1.61,0.18,5.98,0.61,10.56,2.49
14CCT01-GB36M,6-May,0.1,0.07,5.6,0.37,1.55,0.12,6.67,0.47,10.92,1.53
14CCT01-GB36M,7-Jun,0.17,0.07,4.43,0.32,1.53,0.12,6.55,0.46,10.56,1.4
14CCT01-GB36M,8-Jul,0.15,0.06,3.73,0.27,1.46,0.1,5.26,0.37,9.54,1.19
14CCT01-GB36M,9-Aug,0.32,0.06,3.09,0.26,1.38,0.1,4.23,0.33,7.68,1.14
14CCT01-GB36M,10-Sep,0.36,0.08,3.24,0.32,1.52,0.12,5.07,0.39,8.55,1.28
14CCT01-GB36M,11-Oct,1.64,0.14,4.63,0.38,1.33,0.14,10.33,0.57,11.79,1.88
14CCT01-GB36M,12-Nov,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,13-Dec,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,13-14,0.17,0.06,2.58,0.25,1.53,0.1,5.94,0.37,8.8,1.17
14CCT01-GB36M,14-15,ND,--,2.74,0.32,1.37,0.12,8.35,0.48,11.38,1.68
14CCT01-GB36M,15-16,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,16-17,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,17-18,0.15,0.08,2.17,0.31,1.37,0.13,7.31,0.49,8.56,1.77
14CCT01-GB36M,18-19,ND,--,1.69,0.21,1.49,0.1,3.8,0.34,5.52,1.02
14CCT01-GB36M,19-20,ND,--,1.5,0.15,1.41,0.07,3.33,0.23,4.76,0.71
14CCT01-GB36M,20-21,ND,--,1.9,0.21,1.66,0.09,3.36,0.28,5.79,0.88
14CCT01-GB36M,21-22,ND,--,1.53,0.19,1.6,0.08,3.99,0.27,5.04,0.84
14CCT01-GB36M,22-23,ND,--,2.08,0.27,1.74,0.12,5.26,0.4,7.26,1.42
14CCT01-GB36M,23-24,ND,--,1.65,0.23,1.49,0.1,5.05,0.35,7.44,1.14
14CCT01-GB36M,24-25,ND,--,1.69,0.2,1.6,0.09,3.75,0.27,7.05,0.95
14CCT01-GB36M,25-26,ND,--,1.77,0.17,1.59,0.07,3.33,0.23,6.66,0.82
14CCT01-GB36M,26-27,ND,--,1.72,0.23,1.58,0.1,3.44,0.32,5.33,1.02
14CCT01-GB36M,27-28,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,28-29,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,29-30,ND,--,1.77,0.23,1.61,0.1,3.89,0.32,8.38,1.14
14CCT01-GB36M,30-31,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,31-32,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,32-33,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,33-34,ND,--,1.52,0.24,1.56,0.1,4.99,0.36,8.76,1.27
14CCT01-GB36M,34-35,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,35-36,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,36-37,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,37-38,ND,--,1.77,0.25,1.74,0.11,5.36,0.35,11.09,1.32
14CCT01-GB36M,38-39,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,39-40,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,40-41,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,41-42,ND,--,1.71,0.2,1.69,0.09,5.57,0.32,11.05,1.1
14CCT01-GB36M,42-43,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,43-44,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,44-45,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,45-46,ND,--,1.56,0.2,1.67,0.08,5.77,0.31,10.44,1.02
14CCT01-GB36M,46-47,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,47-48,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,48-49,--,--,--,--,--,--,--,--,--,--
14CCT01-GB36M,49-49.7,ND,--,1.72,0.24,1.63,0.11,6.53,0.4,11.09,1.39
Lc:Cs-137 = 0.06 dpm/g; Lc:Pb-210 = 0.32 dpm/g; Lc:Ra-226 = 0.20 dpm/g; Lc:Th-234 = 0.36 dpm/g; Lc:K-40 = 1.53 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
14CCT01-GB39M,0-1,0.18,0.07,7.8,0.38,1.46,0.11,4.95,0.4,14.41,1.41
14CCT01-GB39M,2-Jan,0.21,0.07,6.48,0.38,1.61,0.11,5.46,0.42,12.15,1.36
14CCT01-GB39M,3-Feb,ND,--,5.5,0.39,1.78,0.12,4.92,0.46,11.56,1.45
14CCT01-GB39M,4-Mar,0.2,0.08,5.08,0.35,1.71,0.11,5.42,0.42,11.79,1.35
14CCT01-GB39M,5-Apr,ND,--,5.43,0.45,1.85,0.16,4.44,0.55,14.24,1.97
14CCT01-GB39M,6-May,0.21,0.11,4.82,0.49,1.64,0.16,4.73,0.54,13.01,2.15
14CCT01-GB39M,7-Jun,0.22,0.09,5.84,0.45,1.59,0.14,5.38,0.5,12.95,1.7
14CCT01-GB39M,8-Jul,0.33,0.07,5.18,0.32,1.62,0.11,4.96,0.4,12.51,1.25
14CCT01-GB39M,9-Aug,0.4,0.11,4.66,0.45,1.57,0.15,4.95,0.59,15.3,2.02
14CCT01-GB39M,10-Sep,0.4,0.08,4.62,0.38,1.61,0.13,5.83,0.46,14.28,1.74
14CCT01-GB39M,11-Oct,0.92,0.12,4.71,0.42,1.49,0.15,8.18,0.6,16.01,1.97
14CCT01-GB39M,12-Nov,0.49,0.08,3.91,0.3,1.52,0.11,8.05,0.45,18.46,1.55
14CCT01-GB39M,13-Dec,0.37,0.08,3.5,0.34,1.54,0.13,7.65,0.5,14.31,1.63
14CCT01-GB39M,13-14,ND,--,2.71,0.4,1.73,0.15,6.81,0.55,14.45,1.96
14CCT01-GB39M,14-15,ND,--,2.48,0.3,1.67,0.11,5.93,0.43,10.7,1.39
14CCT01-GB39M,15-16,ND,--,2.49,0.35,1.84,0.13,5.54,0.46,11.52,1.58
14CCT01-GB39M,16-17,ND,--,1.92,0.31,1.92,0.13,6.47,0.46,12.02,1.51
14CCT01-GB39M,17-18,ND,--,2.13,0.29,1.72,0.12,6.88,0.46,11.29,1.38
14CCT01-GB39M,18-19,ND,--,1.86,0.28,1.66,0.11,6.84,0.41,12.87,1.29
14CCT01-GB39M,19-20,ND,--,1.81,0.33,1.68,0.12,6.39,0.44,10.85,1.4
14CCT01-GB39M,20-21,ND,--,1.98,0.26,1.76,0.1,5.7,0.4,8.74,1.09
14CCT01-GB39M,21-22,ND,--,2,0.26,1.7,0.11,6.2,0.39,9.28,1.14
14CCT01-GB39M,22-23,ND,--,1.73,0.25,1.73,0.1,4.89,0.35,9.47,1.12
14CCT01-GB39M,23-24,ND,--,1.75,0.25,1.82,0.1,4.4,0.32,9.15,1.1
14CCT01-GB39M,24-25,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,25-26,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,26-27,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,27-28,ND,--,1.6,0.27,1.75,0.11,5.28,0.38,9.79,1.21
14CCT01-GB39M,28-29,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,29-30,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,30-31,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,31-32,ND,--,1.96,0.19,1.79,0.08,3.94,0.27,7.83,0.85
14CCT01-GB39M,32-33,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,33-34,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,34-35,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,35-36,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,36-37,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,37-38,ND,--,1.9,0.15,1.94,0.06,3.31,0.2,5.78,0.56
14CCT01-GB39M,38-39,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,39-40,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,40-41,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,41-42,ND,--,1.99,0.21,2.06,0.08,3.02,0.26,5.96,0.77
14CCT01-GB39M,42-43,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,43-44,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,44-45,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,45-46,ND,--,2.16,0.2,2.2,0.08,3.1,0.23,5.23,0.66
14CCT01-GB39M,46-47,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,47-48,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,48-49,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,49-50,ND,--,2.28,0.22,2.04,0.09,2.79,0.27,5,0.77
14CCT01-GB39M,50-51,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,51-52,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,52-53,--,--,--,--,--,--,--,--,--,--
14CCT01-GB39M,53-54,ND,--,1.97,0.16,2.07,0.06,2.89,0.21,5.57,0.57
14CCT01-GB39M,54-54.7,ND,--,2.16,0.2,2.1,0.08,2.72,0.26,5.97,0.78
Lc:Cs-137 = 0.08 dpm/g; Lc:Pb-210 = 0.29 dpm/g; Lc:Ra-226 = 0.20 dpm/g; Lc:Th-234 = 0.37 dpm/g; Lc:K-40 = 1.19 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
14CCT01-GB53D,0-1,0.26,0.06,10.27,0.46,1.26,0.08,6.38,0.42,18.87,1.17
14CCT01-GB53D,2-Jan,0.12,0.04,7.38,0.4,1.41,0.07,5.24,0.38,17.75,1.02
14CCT01-GB53D,3-Feb,0.08,0.04,3.75,0.31,1.28,0.07,3.18,0.34,10.23,0.83
14CCT01-GB53D,4-Mar,0.09,0.04,3.49,0.27,1.4,0.06,3.34,0.31,10.08,0.73
14CCT01-GB53D,5-Apr,0.21,0.05,4.34,0.37,1.57,0.08,4.9,0.38,13.1,0.96
14CCT01-GB53D,6-May,0.25,0.06,4.37,0.37,1.3,0.08,5.98,0.42,15.04,1.07
14CCT01-GB53D,7-Jun,0.21,0.05,4.44,0.38,1.27,0.08,6.78,0.44,14.08,1.04
14CCT01-GB53D,8-Jul,0.37,0.06,5.76,0.41,1.24,0.08,11.48,0.5,20.44,1.21
14CCT01-GB53D,9-Aug,0.36,0.05,4.42,0.31,1.29,0.07,7.6,0.37,19.89,0.95
14CCT01-GB53D,10-Sep,0.27,0.05,3.92,0.3,1.42,0.07,5.14,0.36,15.2,0.93
14CCT01-GB53D,11-Oct,0.45,0.06,5.13,0.33,1.42,0.07,6.18,0.37,18.31,0.96
14CCT01-GB53D,12-Nov,0.49,0.07,4.08,0.38,1.29,0.09,6.53,0.47,18.73,1.24
14CCT01-GB53D,13-Dec,0.56,0.07,4.01,0.4,1.14,0.08,7.62,0.48,16.84,1.12
14CCT01-GB53D,13-14,0.66,0.08,3.38,0.38,1.2,0.08,7.35,0.48,14.84,1.13
14CCT01-GB53D,14-15,0.75,0.07,2.87,0.32,1.43,0.08,4.91,0.41,14.23,1.05
14CCT01-GB53D,15-16,1.23,0.08,2.81,0.33,1.29,0.08,5.56,0.42,15.22,1.06
14CCT01-GB53D,16-17,3.21,0.14,3.24,0.43,1.27,0.09,8.58,0.55,18.33,1.34
14CCT01-GB53D,17-18,3.29,0.14,4.1,0.47,1.17,0.09,12.32,0.6,19.21,1.38
14CCT01-GB53D,18-19,1.44,0.09,3,0.4,1.32,0.09,9.58,0.53,19.73,1.27
14CCT01-GB53D,19-20,0.66,0.06,2.83,0.34,1.5,0.08,8.61,0.45,17.27,1.01
14CCT01-GB53D,20-21,0.44,0.07,3.47,0.38,1.31,0.09,10.58,0.54,18.04,1.17
14CCT01-GB53D,21-22,0.4,0.05,3.49,0.3,1.39,0.07,9.82,0.41,18.04,0.93
14CCT01-GB53D,22-23,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53D,23-24,0.19,0.06,1.88,0.34,1.65,0.09,3.98,0.42,12.4,1.1
14CCT01-GB53D,24-25,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53D,25-26,0.1,0.05,1.45,0.32,1.5,0.08,3.28,0.39,11.61,0.94
14CCT01-GB53D,26-27,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53D,27-28,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53D,28-29,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53D,29-30,0.15,0.06,1.69,0.35,1.38,0.08,5.25,0.45,15.48,1.15
14CCT01-GB53D,30-31,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53D,31-32,0.14,0.05,1.3,0.41,1.57,0.1,5.34,0.5,14.28,1.26
14CCT01-GB53D,32-33,--,--,--,--,--,--,--,--,--,--
14CCT01-GB53D,33-34,Tr,--,1.54,0.38,1.67,0.1,3.85,0.46,16.1,1.22
Lc:Cs-137 = 0.06 dpm/g; Lc:Pb-210 = 0.32 dpm/g; Lc:Ra-226 = 0.10 dpm/g; Lc:Th-234 = 0.34 dpm/g; Lc:K-40 = 0.61 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
14CCT01-GB53M(A),0-1,ND,--,10.6,0.75,1.49,0.2,5.08,0.78,10.6,2.51
14CCT01-GB53M(A),2-Jan,ND,--,7.84,0.37,1.29,0.1,5.12,0.39,10.26,1.21
14CCT01-GB53M(A),3-Feb,ND,--,6.54,0.32,1.4,0.09,5.74,0.37,10.21,1.03
14CCT01-GB53M(A),4-Mar,0.09,0.05,5.62,0.32,1.33,0.09,4.73,0.36,8.46,1.05
14CCT01-GB53M(A),5-Apr,0.09,0.05,5.41,0.32,1.43,0.1,4.27,0.38,7.24,1.14
14CCT01-GB53M(A),6-May,0.15,0.05,7.04,0.32,1.27,0.09,6.11,0.37,8.05,1.03
14CCT01-GB53M(A),7-Jun,0.21,0.07,5.8,0.35,1.22,0.11,7.9,0.46,9.5,1.35
14CCT01-GB53M(A),8-Jul,0.13,0.05,6.29,0.3,1.28,0.09,6.7,0.37,8.83,0.98
14CCT01-GB53M(A),9-Aug,0.24,0.07,6.18,0.33,1.31,0.1,7.79,0.43,12.9,1.27
14CCT01-GB53M(A),10-Sep,0.17,0.06,4.64,0.32,1.38,0.11,6.9,0.46,15.04,1.47
14CCT01-GB53M(A),11-Oct,0.35,0.09,6.56,0.42,1.25,0.13,9.45,0.56,12.82,1.68
14CCT01-GB53M(A),12-Nov,0.39,0.11,7.48,0.44,1.27,0.13,10.59,0.59,12.61,1.55
