study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_unit,total_pb210_activity,pb210_unit,ra226_activity,ra226_unit,bi214_activity,bi214_unit,be7_activity,be7_unit,cs137_activity_sd,total_pb210_activity_sd,ra226_activity_sd,th234_activity,th234_activity_sd,bi214_activity_sd,pb212_activity,pb212_activity_sd,be7_activity_sd,am241_activity,am241_activity_sd,pb212_unit,am241_unit
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,0,2,0.276949967778505,0.28091,NA,10.04156337,becquerelsPerKilogram,181.3080798,becquerelsPerKilogram,63.26880038,becquerelsPerKilogram,41.09650521,becquerelsPerKilogram,NA,NA,1.332950889,8.228379209,5.871536399,21.39175979,3.764949723,2.668604234,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,2,4,0.394906834574598,0.2438075585746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,4,6,0.411574126852955,0.23069,NA,17.02540009,becquerelsPerKilogram,175.8410381,becquerelsPerKilogram,54.677926,becquerelsPerKilogram,38.35935386,becquerelsPerKilogram,NA,NA,1.439959211,7.924460146,5.387552457,26.58708517,3.692650718,2.557290258,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,6,8,0.416043304284344,0.252399824276201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,8,10,0.401221790904292,0.26721,NA,22.65182726,becquerelsPerKilogram,169.71569,becquerelsPerKilogram,48.64872982,becquerelsPerKilogram,46.39982871,becquerelsPerKilogram,NA,NA,1.379438199,7.697687885,5.183881046,29.56042364,3.677028306,2.495990786,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,10,12,0.386801503721085,0.237929394320596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,12,14,0.477583419592763,0.19808,NA,43.54345036,becquerelsPerKilogram,119.1593972,becquerelsPerKilogram,62.06944927,becquerelsPerKilogram,50.88170354,becquerelsPerKilogram,NA,NA,1.598562424,6.534164351,7.003199068,23.19089375,3.760685473,2.77873381,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,14,16,0.543424134708822,0.185410098441415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,16,18,0.537927870430032,0.18386,NA,18.62497043,becquerelsPerKilogram,100.9938741,becquerelsPerKilogram,65.41721252,becquerelsPerKilogram,46.12896994,becquerelsPerKilogram,NA,NA,1.271584326,7.231660124,6.756707397,31.98550676,3.693476531,2.493457835,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,18,20,0.590237708378154,0.171968961913743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,20,22,0.590054858421532,0.16048,NA,0.541961436,becquerelsPerKilogram,88.20100307,becquerelsPerKilogram,56.10688899,becquerelsPerKilogram,57.22738545,becquerelsPerKilogram,NA,NA,0.406471077,6.199805255,4.503562996,29.56372287,3.686930796,2.661738858,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,22,24,0.572777844590401,0.163424053903613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,24,26,0.564629900226665,0.17578,NA,0.90922005400000006,becquerelsPerKilogram,104.4792498,becquerelsPerKilogram,57.10528667,becquerelsPerKilogram,53.62375184,becquerelsPerKilogram,NA,NA,0.419640025,6.440501701,5.980621239,29.81380419,3.289316425,2.606710159,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,26,28,0.564875353828586,0.189466072471806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,28,30,0.452500526895696,0.20321,NA,4.378722477,becquerelsPerKilogram,89.22324995,becquerelsPerKilogram,54.50442341,becquerelsPerKilogram,46.95449586,becquerelsPerKilogram,NA,NA,0.754952151,6.023510545,4.851719508,24.712406820000002,3.647313055,2.64532371,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,30,32,0.397803436420848,0.217975406209164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,32,34,0.373177863033972,0.23686,NA,0.630883338,becquerelsPerKilogram,86.95082349,becquerelsPerKilogram,49.87273355,becquerelsPerKilogram,46.26090194,becquerelsPerKilogram,NA,NA,0.385539818,6.091335162,5.412544727,21.243284,3.295162865,2.549323897,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,34,36,0.367018723576784,0.259532302691536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,36,38,0.363844701091098,0.26981,NA,1.337314154,becquerelsPerKilogram,74.20214027,becquerelsPerKilogram,48.54644674,becquerelsPerKilogram,33.43913979,becquerelsPerKilogram,NA,NA,NA,6.604378977,6.766429524,22.62347056,3.474594454,2.403223599,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,38,40,0.356367222830508,0.25573663302469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,40,42,0.361958228563356,0.23811,NA,0.237291404,becquerelsPerKilogram,74.9038264,becquerelsPerKilogram,42.62326991,becquerelsPerKilogram,38.15041258,becquerelsPerKilogram,NA,NA,NA,6.022418203,5.160202168,21.80477602,3.423275416,2.64474264,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,42,44,0.351694585965927,0.239051165209705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,44,46,0.368875684869559,0.25322,NA,0.884439009,becquerelsPerKilogram,71.34820768,becquerelsPerKilogram,56.96653872,becquerelsPerKilogram,32.37796891,becquerelsPerKilogram,NA,NA,NA,6.01731872,6.908707887,20.84635605,3.632974913,2.775254478,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,46,48,0.369636873186282,0.269196206136492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,48,50,0.375033213067459,0.2787,NA,0.662174297,becquerelsPerKilogram,58.17861786,becquerelsPerKilogram,43.741146,becquerelsPerKilogram,28.68836206,becquerelsPerKilogram,NA,NA,NA,5.560194248,7.27125544,19.2046271,3.41777262,2.463142197,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,50,52,0.400097274686268,0.276067760244327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,52,54,0.405038588635297,0.26296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,54,56,0.451345057061828,0.244616502886199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,56,58,0.450795403074678,0.23327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,58,60,0.407659291156268,0.238816228210879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,60,62,0.376094081061081,0.25481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,62,64,0.344966719168068,0.272208584270287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,64,66,0.319225605372659,0.28792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,66,68,0.285826177055152,0.300586934707972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,68,70,0.309084331508713,0.30984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,70,72,0.324795434245912,0.315803676897826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,72,74,0.317119856256735,0.31959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,74,76,0.291299817902194,0.322399607700725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC1,Boyd_2012,76,78,0.30867435174702,0.3248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019,Blackbird_Creek_Marsh,BBRC2,Boyd_2012,0,2,0.502015806663498,0.16614,NA,6.59651391,becquerelsPerKilogram,96.58982102,becquerelsPerKilogram,34.76248058,becquerelsPerKilogram,30.35606105,becquerelsPerKilogram,NA,NA,0.802278719,4.584285104,4.070290447,21.1528265,2.52710759,1.953205001,NA,NA,NA,NA,NA,NA,NA
