study_id,bibliography_id,publication_type,bibtype,doi,title,author,publisher,year,url,month,volume,pages,journal,school,keywords,copyright
Boyd_et_al_2019,Boyd_and_Sommerfield_2016_article,associated,Article,10.1016/j.ecoleng.2016.03.045,Marsh accretion and sediment accumulation in a managed tidal wetland complex of Delaware Bay,Brandon M. Boyd and Christopher K. Sommerfield,Elsevier {BV},2016,https://doi.org/10.1016/j.ecoleng.2016.03.045,jul,92,37--46,Ecological Engineering,NA,NA,NA
Boyd_et_al_2019,Unger_et_al_2016_article,associated,Article,10.1016/j.ecss.2016.10.001,Stability of organic carbon accumulating in Spartina alterniflora-dominated salt marshes of the Mid-Atlantic U.S.,Viktoria Unger and Tracy Elsey-Quirk and Christopher Sommerfield and David Velinsky,Elsevier {BV},2016,https://doi.org/10.1016/j.ecss.2016.10.001,dec,182,179--189,"Estuarine, Coastal and Shelf Science",NA,NA,NA
Boyd_et_al_2019,Boyd_2012_article,associated,MastersThesis,NA,Comparison of sediment accumulation and accretion in impounded and unimpounded marshes of the Delaware Estuary,Brandon Boyd,NA,2012,http://udspace.udel.edu/handle/19716/12831,NA,NA,NA,NA,University of Delaware,NA,NA
Boyd_et_al_2019,Boyd_et_al_2017_article,associated,Article,10.1016/j.margeo.2016.11.008,Hydrogeomorphic influences on salt marsh sediment accumulation and accretion in two estuaries of the U.S. Mid-Atlantic coast,Brandon M. Boyd and Christopher K. Sommerfield and Tracy Elsey-Quirk,Elsevier,2017,https://doi.org/10.1016/j.margeo.2016.11.008,NA,383,132--145,Marine Geology,NA,NA,NA
Boyd_et_al_2019,Boyd_et_al_2019_data,primary,Misc,10.25573/DATA.9747065,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,The Smithsonian Institution,2019,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,NA,NA,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, Soil Science",CC BY 4.0
