"[Abbreviations:  ID, identification; cm, centimeter; dpm/g, disintegrations per minute per gram]",,
Sample ID,"Total Pb-210 
(dpm/g)","Total Pb-210 Error 
(+/- dpm/g)"
14CCT01-GB40G,1.78,0.233
14CCT01-GB44G,2.35,0.114
14CCT01-GB46G,2.90,0.129
14CCT01-GB47G,2.08,0.097
14CCT01-GB48G,1.88,0.036
14CCT01-GB51G,1.98,0.061
14CCT01-GB52G,2.15,0.089
14CCT01-GB58G,1.94,0.005
14CCT01-GB59G,0.70,0.003
14CCT01-GB61G,1.63,0.058
14CCT01-GB62G,0.89,0.054
14CCT01-GB63G,0.97,0.010
14CCT01-GB65G,0.26,0.006
,,
,,
,,
