Location,No.,Latitude,Longitude,Vegetation type,SOC_g_kg
Hongguang1,1,37.525353N,118.90849E,Suaeda heteroptera,6.10
Hongguang1,2,37.52537 N,118.9089 E,Suaeda heteroptera,7.09
Hongguang1,3,37.525387 N,118.90929 E,Suaeda heteroptera,6.75
Hongguang2,4,37.525668 N,118.90802 E,Suaeda heteroptera,6.34
Hongguang2,5,37.525702 N,118.90836 E,Suaeda heteroptera,6.56
Hongguang2,6,37.525736 N,118.90878 E,Suaeda heteroptera,5.94
Hongguang3,7,37.525893 N,118.9081 E,Suaeda heteroptera,7.30
Hongguang3,8,37.525931 N,118.90847 E,Suaeda heteroptera,6.01
Hongguang3,9,37.525961 N,118.90886 E,Suaeda heteroptera,6.02
Hongguang4,10,37.526323 N,118.90763 E,Suaeda heteroptera,8.54
Hongguang4,11,37.526348 N,118.90797 E,Suaeda heteroptera,8.24
Hongguang4,12,37.526416 N,118.90828 E,Suaeda heteroptera,7.89
Hongguang5,13,37.52650 N,118.9080 E,Suaeda heteroptera,6.10
Hongguang5,14,37.526565 N,118.9080 E,Suaeda heteroptera,6.09
Hongguang5,15,37.526595 N,118.90832 E,Suaeda heteroptera,7.32
Hongguang6,16,37.525144 N,118.90918 E,Suaeda heteroptera,6.03
Hongguang6,17,37.525165 N,118.90953 E,Suaeda heteroptera,5.94
Hongguang6,18,37.525183 N,118.90992 E,Suaeda heteroptera,6.09
Huifuqu1,19,37.58280 N,118.9510E,Suaeda heteroptera,6.07
Huifuqu1,20,37.582607 N,118.95094 E,Suaeda heteroptera,6.54
Huifuqu1,21,37.58242 N,118.95084 E,Suaeda heteroptera,7.43
Huifuqu2,22,37.582756 N,118.95122 E,Suaeda heteroptera,7.33
Huifuqu2,23,37.58256 N,118.95113 E,Suaeda heteroptera,7.99
Huifuqu2,24,37.582288 N,118.95101 E,Suaeda heteroptera,5.06
Laohekou1,25,38.076017 N,118.81435 E,Tamarix chinensis,9.57
Laohekou1,26,38.075839 N,118.81434 E,Tamarix chinensis,10.90
Laohekou1,27,38.075535 N,118.81431 E,Tamarix chinensis,10.13
Laohekou2,28,38.076059 N,118.8141 E,Phragmites australis,8.63
Laohekou2,29,38.075751 N,118.81408 E,Phragmites australis,7.71
Laohekou2,30,38.075434 N,118.81406 E,Phragmites australis,7.12
Laohekou3,31,38.076093 N,118.8139 E,Suaeda heteroptera,12.41
Laohekou3,32,38.075734 N,118.81389 E,Suaeda heteroptera,13.16
Laohekou3,33,38.075404 N,118.81391 E,Suaeda heteroptera,10.86
Ruhaikou1,34,37.731367 N,118.98476 E,Phragmites australis,14.77
Ruhaikou1,35,37.731427 N,118.9843 E,Phragmites australis,19.65
Ruhaikou1,36,37.731588 N,118.98385 E,Phragmites australis,15.66
Ruhaikou2,37,37.7311 N,118.98473 E,Phragmites australis,20.93
Ruhaikou2,38,37.731308 N,118.98435 E,Phragmites australis,27.74
Ruhaikou2,39,37.731376 N,118.98399 E,Phragmites australis,23.87
,,,,,
