study_id,site_id,core_id,method_id,depth_min,depth_max,representative_depth_min,representative_depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_notes,c14_age,c14_age_se,c14_material,c14_notes,delta_c13,age,age_min,age_max,age_se,depth_interval_notes
Costa_et_al_2023,Galapagos-Carthago Grande (CG)-I,Galapagos-Carthago Grande (CG)-I-1,methods3,0,2,0,2,Galapagos-Carthago Grande (CG)-I-1-1,0.468023691,NA,0.26337763729999997,corer limits compaction,NA,NA,NA,NA,-24.92083479,NA,NA,NA,NA,Live root fiber matrix (0-2)
Costa_et_al_2023,Galapagos-Carthago Grande (CG)-I,Galapagos-Carthago Grande (CG)-I-2,methods3,8,10,0,18,Galapagos-Carthago Grande (CG)-I-2-1,0.070094082,NA,0.2204635162,corer limits compaction,NA,NA,NA,NA,-22.93854843,NA,NA,NA,NA,Root matrix (0-18)
Costa_et_al_2023,Galapagos-Carthago Grande (CG)-I,Galapagos-Carthago Grande (CG)-I-3,methods3,21,23,0,44,Galapagos-Carthago Grande (CG)-I-3-1,0.180359983,NA,0.2844230029,corer limits compaction,NA,NA,NA,NA,-24.31226765,NA,NA,NA,NA,Root matrix (0-44)
Costa_et_al_2023,Galapagos-Carthago Grande (CG)-I,Galapagos-Carthago Grande (CG)-I-3,methods3,42,44,0,44,Galapagos-Carthago Grande (CG)-I-3-2,0.422700263,NA,0.34584911150000003,corer limits compaction,NA,NA,NA,NA,-25.32912394,NA,NA,NA,NA,Root matrix (0-44)
Costa_et_al_2023,Galapagos-Carthago Grande (CG)-II,Galapagos-Carthago Grande (CG)-II-1,methods3,1,3,0,7,Galapagos-Carthago Grande (CG)-II-1-1,0.224867611,NA,0.10893947000000001,corer limits compaction,NA,NA,NA,NA,-24.84967329,NA,NA,NA,NA,Root matrix (0-7)
Costa_et_al_2023,Galapagos-Carthago Chica (CC)-I,Galapagos-Carthago Chica (CC)-I-1,methods3,2,4,0,6,Galapagos-Carthago Chica (CC)-I-1-1,0.142248058,NA,0.21483783979999999,corer limits compaction,NA,NA,NA,NA,-25.04330884,NA,NA,NA,NA,Root matrix (0-6)
Costa_et_al_2023,Galapagos-Carthago Chica (CC)-II,Galapagos-Carthago Chica (CC)-II-1,methods3,18.5,20.5,0,39,Galapagos-Carthago Chica (CC)-II-1-1,0.308769207,NA,0.2720243851,corer limits compaction,NA,NA,NA,NA,-24.71031473,NA,NA,NA,NA,Peat with roots (0-39)
Costa_et_al_2023,Galapagos-Carthago Chica (CC)-III,Galapagos-Carthago Chica (CC)-III-1,methods3,9.5,11.5,0,21,Galapagos-Carthago Chica (CC)-III-1-1,0.696969788,NA,0.03354701051,corer limits compaction,NA,NA,NA,NA,-25.10865849,NA,NA,NA,NA,Mud with roots (0-21)
Costa_et_al_2023,Galapagos-Carthago Chica (CC)-III,Galapagos-Carthago Chica (CC)-III-1,methods3,34.5,36.5,21,100,Galapagos-Carthago Chica (CC)-III-1-2,0.217939898,NA,0.248510937,corer limits compaction,NA,NA,NA,NA,-24.76044752,NA,NA,NA,NA,Peat with roots (21-100)
Costa_et_al_2023,Galapagos-Carthago Chica (CC)-III,Galapagos-Carthago Chica (CC)-III-1,methods3,74,76,21,100,Galapagos-Carthago Chica (CC)-III-1-3,0.425125813,NA,0.2479135143,corer limits compaction,NA,NA,NA,NA,-24.62062037,NA,NA,NA,NA,Peat with roots (21-100)
Costa_et_al_2023,Galapagos-Norte (N)-I,Galapagos-Norte (N)-I-1,methods3,0,2,0,20,Galapagos-Norte (N)-I-1-1,0.031494577,NA,0.2738042301,corer limits compaction,NA,NA,NA,NA,-25.01325455,NA,NA,NA,NA,Root matrix (0-20)
Costa_et_al_2023,Galapagos-Norte (N)-I,Galapagos-Norte (N)-I-1,methods3,9,11,0,20,Galapagos-Norte (N)-I-1-2,0.35464536,NA,0.2282870444,corer limits compaction,NA,NA,NA,NA,-24.40852249,NA,NA,NA,NA,Root matrix (0-20)
Costa_et_al_2023,Galapagos-Norte (N)-I,Galapagos-Norte (N)-I-1,methods3,18,20,0,20,Galapagos-Norte (N)-I-1-3,0.374028289,NA,0.260173138,corer limits compaction,NA,NA,NA,NA,-24.259063,NA,NA,NA,NA,Root matrix (0-20)
Costa_et_al_2023,Galapagos-Norte (N)-III,Galapagos-Norte (N)-III-1,methods3,14,16,0,30,Galapagos-Norte (N)-III-1-1,0.234913377,NA,0.26715452230000003,corer limits compaction,NA,NA,NA,NA,-25.46613525,NA,NA,NA,NA,Roots (0-30)
Costa_et_al_2023,Galapagos-Norte (N)-III,Galapagos-Norte (N)-III-1,methods3,28,30,0,30,Galapagos-Norte (N)-III-1-2,0.294392998,NA,0.2449528003,corer limits compaction,NA,NA,NA,NA,-24.96848504,NA,NA,NA,NA,Roots (0-30)
Costa_et_al_2023,Galapagos-Norte (N)-IV,Galapagos-Norte (N)-IV-1,methods3,5,7,0,12,Galapagos-Norte (N)-IV-1-1,0.07939381,NA,0.32893569159999997,corer limits compaction,NA,NA,NA,NA,-25.18615621,NA,NA,NA,NA,Root matrix (0-12)
Costa_et_al_2023,Galapagos-Norte (N)-IV,Galapagos-Norte (N)-IV-1,methods3,10,12,0,12,Galapagos-Norte (N)-IV-1-2,0.255171007,NA,0.2611102725,corer limits compaction,NA,NA,NA,NA,-25.29271813,NA,NA,NA,NA,Root matrix (0-12)
Costa_et_al_2023,Galapagos-Poza de Patillos (PP)-I,Galapagos-Poza de Patillos (PP)-I-1,methods3,12.5,14.5,0,27,Galapagos-Poza de Patillos (PP)-I-1-1,0.377076325,NA,0.2519263289,corer limits compaction,NA,NA,NA,NA,-25.0602142,NA,NA,NA,NA,Reddish peat with roots (0-27)
