study_id,site_id,core_id,species_code,code_type,habitat
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2017,Broad_River,WSC11,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Broad_River,WSC12,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Broad_River,WSC13_2,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Harney_River,WSC07,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Harney_River,WSC08A,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Harney_River,WSC08B,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Harney_River,WSC09,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Harney_River,WSC10_1,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Shark_River,WSC01,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Shark_River,WSC02A,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Shark_River,WSC02B,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Shark_River,WSC03,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Shark_River,WSC04_1,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Shark_River,WSC05,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2017,Shark_River,WSC06_2,Rhizophora mangle,Genus species,mangrove
Cochran_et_al_1998,Alley_Pond,Alley_Pond,Spartina patens,Genus species,marsh
Cochran_et_al_1998,Caumsett_Park,Caumsett_Park,Spartina patens,Genus species,marsh
Cochran_et_al_1998,Flax_Pond,Flax_Pond,Spartina patens,Genus species,marsh
Cochran_et_al_1998,Goose_Creek,Goose_Creek,Spartina patens,Genus species,marsh
Cochran_et_al_1998,Hunter_Island,Hunter_Island,Spartina patens,Genus species,marsh
Cochran_et_al_1998,Shelter_Island,Shelter_Island,Spartina patens,Genus species,marsh
Noe_et_al_2013,Savannah_River,S1AL,Taxodium distichum,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1AL,Nyssa aquatica,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1AU,Taxodium distichum,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1AU,Nyssa aquatica,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1BL,Taxodium distichum,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1BL,Nyssa aquatica,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1BU,Taxodium distichum,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1BU,Nyssa aquatica,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1CL,Taxodium distichum,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1CL,Nyssa aquatica,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1CU,Taxodium distichum,Genus species,swamp
Noe_et_al_2013,Savannah_River,S1CU,Nyssa aquatica,Genus species,swamp
Noe_et_al_2013,Savannah_River,S2A,Taxodium distichum,Genus species,swamp
Noe_et_al_2013,Savannah_River,S2B,Taxodium distichum,Genus species,swamp
