study_id,site_id,core_id,impact_class
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,natural
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,natural
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,natural
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,natural
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,natural
Noe_et_al_2013,Savannah_River,S1AL,natural
Noe_et_al_2013,Savannah_River,S1AU,natural
Noe_et_al_2013,Savannah_River,S1BL,natural
Noe_et_al_2013,Savannah_River,S1BU,natural
Noe_et_al_2013,Savannah_River,S1CL,natural
Noe_et_al_2013,Savannah_River,S1CU,natural
Noe_et_al_2013,Savannah_River,S2A,salt impacted
Noe_et_al_2013,Savannah_River,S2B,salt impacted
Noe_et_al_2013,Savannah_River,S2C,salt impacted
Noe_et_al_2013,Savannah_River,S3A,salt impacted
Noe_et_al_2013,Savannah_River,S3B,salt impacted
Noe_et_al_2013,Savannah_River,S3C,salt impacted
Noe_et_al_2013,Savannah_River,S4A,natural
Noe_et_al_2013,Savannah_River,S4B,natural
Noe_et_al_2013,Savannah_River,S4C,natural
Noe_et_al_2013,Waccamaw_River,W1AL,natural
Noe_et_al_2013,Waccamaw_River,W1AU,natural
Noe_et_al_2013,Waccamaw_River,W1BL,natural
Noe_et_al_2013,Waccamaw_River,W1BU,natural
Noe_et_al_2013,Waccamaw_River,W1CL,natural
Noe_et_al_2013,Waccamaw_River,W1CU,natural
Noe_et_al_2013,Waccamaw_River,W2A,salt impacted
Noe_et_al_2013,Waccamaw_River,W2B,salt impacted
Noe_et_al_2013,Waccamaw_River,W2C,salt impacted
Noe_et_al_2013,Waccamaw_River,W3A,salt impacted
Noe_et_al_2013,Waccamaw_River,W3B,salt impacted
Noe_et_al_2013,Waccamaw_River,W3C,salt impacted
Noe_et_al_2013,Waccamaw_River,W4A,natural
Noe_et_al_2013,Waccamaw_River,W4B,natural
Noe_et_al_2013,Waccamaw_River,W4C,natural
Elsey_Quirk_et_al_2011,Little_Assawoman,Juncus_roemerianus_core,natural
Elsey_Quirk_et_al_2011,Little_Assawoman,Juncus_roemerianus_core,ditched
Elsey_Quirk_et_al_2011,Little_Assawoman,Spartina_alterniflora_core,natural
Elsey_Quirk_et_al_2011,Little_Assawoman,Spartina_alterniflora_core,ditched
Kulawardhana_et_al_2015,Galveston_Bay,Kulawardhana_PM_01,natural
Kulawardhana_et_al_2015,Galveston_Bay,Kulawardhana_PM_02,natural
Kulawardhana_et_al_2015,Galveston_Bay,Kulawardhana_PM_03,natural
Kulawardhana_et_al_2015,Galveston_Bay,Kulawardhana_PM_04,natural
Kulawardhana_et_al_2015,Galveston_Bay,Kulawardhana_PM_05,natural
Kulawardhana_et_al_2015,Galveston_Bay,Kulawardhana_PM_06,natural
Kulawardhana_et_al_2015,Galveston_Bay,Kulawardhana_PM_07,natural
Kulawardhana_et_al_2015,Galveston_Bay,Kulawardhana_PM_08,natural
Kulawardhana_et_al_2015,Galveston_Bay,Kulawardhana_PM_09,natural
