study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,pb210_unit,excess_pb210_activity,excess_pb210_activity_se
Baustian_et_al_2021,Barataria basin,BA-01-04,12,14,0.15,0.9289000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,BA-01-04,16,18,0.14,0.9138,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,BA-01-04,22,24,0.16,0.9225,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,BA-01-04,34,36,0.16,0.8898999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,BA-01-04,38,40,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,BA-01-04,58,60,0.16,0.8117,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,BA-01-04,78,80,0.21,0.5394,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,BA-01-04,98,100,0.16,0.6187,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,175,12,14,0.41,0.1346,0.69,0.07,disintegrationsPerMinutePerGram,3.29,0.54,disintegrationsPerMinutePerGram,1.95,0.55
Baustian_et_al_2021,Barataria basin,175,16,18,0.36,0.1974,3.61,0.12,disintegrationsPerMinutePerGram,3.68,0.67,disintegrationsPerMinutePerGram,2.2,0.7
Baustian_et_al_2021,Barataria basin,175,22,24,0.39,0.297,1.17,0.09,disintegrationsPerMinutePerGram,3.81,0.66,disintegrationsPerMinutePerGram,2.58,0.7
Baustian_et_al_2021,Barataria basin,175,38,40,0.5,0.1553,0,0,disintegrationsPerMinutePerGram,1.67,0.47,disintegrationsPerMinutePerGram,0.31,0.47
Baustian_et_al_2021,Barataria basin,175,58,60,0.35,0.29460000000000003,0,0,disintegrationsPerMinutePerGram,0.38,0.48,disintegrationsPerMinutePerGram,-0.8,0.48
Baustian_et_al_2021,Barataria basin,175,78,80,0.82,0.1374,0,0,disintegrationsPerMinutePerGram,1.97,0.54,disintegrationsPerMinutePerGram,-0.44,0.54
Baustian_et_al_2021,Barataria basin,175,98,100,1.67,0.037200000000000004,0,0,disintegrationsPerMinutePerGram,1.79,0.49,disintegrationsPerMinutePerGram,-0.22,0.49
Baustian_et_al_2021,Barataria basin,211,12,14,0.13,0.7664,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,211,16,18,0.15,0.3136,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,211,22,24,0.15,0.7859,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,211,38,40,0.2,0.4532,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,211,58,60,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,211,78,80,0.16,0.8715999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,211,98,100,0.18,0.7332,NA,NA,NA,NA,NA,NA,NA,NA
