study_id,bibliography_id,publication_type,key,bibtype,title,author,year,doi,url,publisher
Deegan_et_al_2012,Deegan_et_al_2012,data release,Deegan_et_al_2009_a,Misc,2009 LENS aboveground biomass core results,Linda Deegan and Duncan FitzGerald and Sergio Fagherazz,2012,10.6073/pasta/6830381e663fedc52bbdb3c501fdf3ee,https://doi.org/10.6073/pasta/6830381e663fedc52bbdb3c501fdf3ee,Environmental Data Initiative
Deegan_et_al_2012,Deegan_et_al_2012,data release,Deegan_et_al_2009_b,Misc,2009 LENS belowground biomass core results,Linda Deegan and Duncan FitzGerald and Sergio Fagherazz,2012,10.6073/pasta/bc041b3546ba4a3730fd391852741620,https://doi.org/10.6073/pasta/bc041b3546ba4a3730fd391852741620,Environmental Data Initiative
