site_id,depth_min,depth_max,live_rhizomes,live_roots,Detritus,core_id,study_id
SW-R,0,5,0.407,0.039,1.104,SW-R1,Deegan_et_al_2012
SW-R,5,10,0.747,0.309,1.071,SW-R1,Deegan_et_al_2012
SW-R,10,20,0.272,0.081,1.466,SW-R1,Deegan_et_al_2012
SW-R,20,30,0,0.108,0.564,SW-R1,Deegan_et_al_2012
SW-R,30,50,0.317,0.062,2.923,SW-R1,Deegan_et_al_2012
SW-R,0,5,0.135,0,0.458,SW-R8,Deegan_et_al_2012
SW-R,5,10,0.078,0.003,1.04,SW-R8,Deegan_et_al_2012
SW-R,10,20,0.369,0.179,2.01,SW-R8,Deegan_et_al_2012
SW-R,20,30,0.052,0.033,3.21,SW-R8,Deegan_et_al_2012
SW-R,30,50,0.023,0.055,4.363,SW-R8,Deegan_et_al_2012
SW-R,0,5,0,0.154,1.044,SW-R13,Deegan_et_al_2012
SW-R,5,10,0.985,0.21,1.982,SW-R13,Deegan_et_al_2012
SW-R,10,20,2.919,0.681,5.67,SW-R13,Deegan_et_al_2012
SW-R,20,30,0.472,0.325,2.299,SW-R13,Deegan_et_al_2012
SW-R,30,50,0.307,0.54,5.975,SW-R13,Deegan_et_al_2012
SW-R,0,5,0.24,0.049,0.073,SW-R28,Deegan_et_al_2012
SW-R,5,10,0.672,0.082,0.098,SW-R28,Deegan_et_al_2012
SW-R,10,20,0.394,0,1.18,SW-R28,Deegan_et_al_2012
SW-R,20,30,0.212,0.015,2.655,SW-R28,Deegan_et_al_2012
SW-R,30,50,0.022,0,3.858,SW-R28,Deegan_et_al_2012
SW-R,0,5,2.136,0.293,1.013,SW-R33,Deegan_et_al_2012
SW-R,5,10,1.016,0.166,0.177,SW-R33,Deegan_et_al_2012
SW-R,10,20,1.35,0.233,0.582,SW-R33,Deegan_et_al_2012
SW-R,20,30,0,0.109,0.181,SW-R33,Deegan_et_al_2012
SW-R,30,50,0.265,0.355,3.214,SW-R33,Deegan_et_al_2012
SW-R,0,5,0.283,0.301,1.231,SW-R37,Deegan_et_al_2012
SW-R,5,10,0.987,0.257,0.375,SW-R37,Deegan_et_al_2012
SW-R,10,20,1.055,0.808,0.646,SW-R37,Deegan_et_al_2012
SW-R,20,30,0.762,0.436,0.707,SW-R37,Deegan_et_al_2012
SW-R,30,50,0.551,0.663,0.836,SW-R37,Deegan_et_al_2012
SW-L,0,5,0,0,0.081,SW-L45,Deegan_et_al_2012
SW-L,5,10,0,0.076,0.26,SW-L45,Deegan_et_al_2012
SW-L,10,20,0.648,0.079,0.358,SW-L45,Deegan_et_al_2012
SW-L,20,30,0.591,0.155,1.947,SW-L45,Deegan_et_al_2012
SW-L,30,50,0.085,0.161,10.356,SW-L45,Deegan_et_al_2012
SW-L,0,5,0,0,0.709,SW-L50,Deegan_et_al_2012
SW-L,5,10,0,0,0.772,SW-L50,Deegan_et_al_2012
SW-L,10,20,0,0.027,1.272,SW-L50,Deegan_et_al_2012
SW-L,20,30,0,0.051,1.173,SW-L50,Deegan_et_al_2012
SW-L,30,50,0,0.099,1.121,SW-L50,Deegan_et_al_2012
SW-L,0,5,0.314,0,0.758,SW-L56,Deegan_et_al_2012
SW-L,5,10,0.355,0.007,0.601,SW-L56,Deegan_et_al_2012
SW-L,10,20,1.549,0.216,1.812,SW-L56,Deegan_et_al_2012
SW-L,20,30,1.204,0.461,1.915,SW-L56,Deegan_et_al_2012
SW-L,30,50,1.119,0.467,3.336,SW-L56,Deegan_et_al_2012
SW-L,0,5,0.213,0.107,1.32,SW-L71,Deegan_et_al_2012
SW-L,5,10,1.069,0.137,0.755,SW-L71,Deegan_et_al_2012
SW-L,10,20,3.37,1.005,1.361,SW-L71,Deegan_et_al_2012
SW-L,20,30,0.984,0.484,1.338,SW-L71,Deegan_et_al_2012
SW-L,30,50,0.211,0.491,1.64,SW-L71,Deegan_et_al_2012
SW-L,0,5,0.223,0,0.407,SW-L77,Deegan_et_al_2012
SW-L,5,10,0.754,0.123,1.082,SW-L77,Deegan_et_al_2012
SW-L,10,20,2.392,0.712,2.488,SW-L77,Deegan_et_al_2012
SW-L,20,30,0.756,0.3,1.136,SW-L77,Deegan_et_al_2012
SW-L,30,50,0.58,0.116,4.815,SW-L77,Deegan_et_al_2012
SW-L,0,5,0.336,0.526,0.94,SW-L80,Deegan_et_al_2012
SW-L,5,10,0.693,1.353,0.769,SW-L80,Deegan_et_al_2012
SW-L,10,20,1.665,1.43,1.163,SW-L80,Deegan_et_al_2012
SW-L,20,30,0.84,0.685,1.239,SW-L80,Deegan_et_al_2012
SW-L,30,50,1.343,0.204,0.969,SW-L80,Deegan_et_al_2012
WE-R,0,5,0.525,0.215,1.371,WE-R1,Deegan_et_al_2012
WE-R,5,10,0.334,0.164,1.579,WE-R1,Deegan_et_al_2012
WE-R,10,20,0.519,0.241,4.685,WE-R1,Deegan_et_al_2012
WE-R,20,30,0.589,0.22,5.887,WE-R1,Deegan_et_al_2012
WE-R,30,50,0.221,0.125,7.259,WE-R1,Deegan_et_al_2012
WE-R,0,5,0.597,0.211,2.041,WE-R5,Deegan_et_al_2012
WE-R,5,10,1.766,1.003,3.635,WE-R5,Deegan_et_al_2012
WE-R,10,20,1.301,1.046,4.681,WE-R5,Deegan_et_al_2012
WE-R,20,30,0.903,0.463,3.624,WE-R5,Deegan_et_al_2012
WE-R,30,50,0.671,0.652,10.785,WE-R5,Deegan_et_al_2012
WE-R,0,5,0.714,0.205,3.354,WE-R11,Deegan_et_al_2012
WE-R,5,10,0.932,0.275,2.751,WE-R11,Deegan_et_al_2012
WE-R,10,20,2.604,0.783,2.798,WE-R11,Deegan_et_al_2012
WE-R,20,30,0.231,0.355,2.412,WE-R11,Deegan_et_al_2012
WE-R,30,50,0.67,0.304,1.697,WE-R11,Deegan_et_al_2012
WE-R,0,5,0,0,0,WE-R23,Deegan_et_al_2012
WE-R,5,10,0,0.129,0.993,WE-R23,Deegan_et_al_2012
WE-R,10,20,0,0.15,1.067,WE-R23,Deegan_et_al_2012
WE-R,20,30,1.023,0.096,0.952,WE-R23,Deegan_et_al_2012
WE-R,30,50,0,0.087,2.98,WE-R23,Deegan_et_al_2012
WE-R,0,5,0.72,0.342,3.197,WE-R27,Deegan_et_al_2012
WE-R,5,10,1.753,0.675,2.002,WE-R27,Deegan_et_al_2012
WE-R,10,20,2.471,1.15,6.401,WE-R27,Deegan_et_al_2012
WE-R,20,30,0.792,0.609,4.313,WE-R27,Deegan_et_al_2012
WE-R,30,50,0,0.373,6.748,WE-R27,Deegan_et_al_2012
WE-R,0,5,0,0,0.17,WE-R32,Deegan_et_al_2012
WE-R,5,10,0.246,0.004,0.523,WE-R32,Deegan_et_al_2012
WE-R,10,20,2.357,0.695,0.945,WE-R32,Deegan_et_al_2012
WE-R,20,30,2.412,0.305,2.298,WE-R32,Deegan_et_al_2012
WE-R,30,50,0.479,0.134,2.033,WE-R32,Deegan_et_al_2012
WE-L,0,5,0.442,0.563,0.855,WE-L35,Deegan_et_al_2012
WE-L,5,10,0.473,0.301,0.977,WE-L35,Deegan_et_al_2012
WE-L,10,20,0.479,0.3,4.015,WE-L35,Deegan_et_al_2012
WE-L,20,30,0.469,0.486,4.743,WE-L35,Deegan_et_al_2012
WE-L,30,50,0.792,0.039,6.209,WE-L35,Deegan_et_al_2012
WE-L,0,5,1.338,0.18,1.839,WE-L40,Deegan_et_al_2012
WE-L,5,10,1.853,0.761,2.062,WE-L40,Deegan_et_al_2012
WE-L,10,20,3.006,0.881,5.373,WE-L40,Deegan_et_al_2012
WE-L,20,30,2.509,0,6.279,WE-L40,Deegan_et_al_2012
WE-L,30,50,1.096,0.471,8.733,WE-L40,Deegan_et_al_2012
WE-L,0,5,0,0,0.122,WE-L45,Deegan_et_al_2012
WE-L,5,10,0.381,0,0,WE-L45,Deegan_et_al_2012
WE-L,10,20,0,0,0.237,WE-L45,Deegan_et_al_2012
WE-L,20,30,0,0.037,0.701,WE-L45,Deegan_et_al_2012
WE-L,30,50,0,0,2.003,WE-L45,Deegan_et_al_2012
WE-L,0,5,0.327,0.065,1.288,WE-L63,Deegan_et_al_2012
WE-L,5,10,0.295,0,0.477,WE-L63,Deegan_et_al_2012
WE-L,10,20,1.107,0.237,0.162,WE-L63,Deegan_et_al_2012
WE-L,20,30,0,0.028,0.129,WE-L63,Deegan_et_al_2012
WE-L,30,50,0.379,0.189,0.39,WE-L63,Deegan_et_al_2012
WE-L,0,5,0.255,0.456,0.541,WE-L68,Deegan_et_al_2012
WE-L,5,10,0.276,1.205,1.36,WE-L68,Deegan_et_al_2012
WE-L,10,20,0.565,0.721,1.491,WE-L68,Deegan_et_al_2012
WE-L,20,30,0.477,0.243,0.676,WE-L68,Deegan_et_al_2012
WE-L,30,50,0.057,0.563,5.478,WE-L68,Deegan_et_al_2012
WE-L,0,5,0,0.214,0.426,WE-L72,Deegan_et_al_2012
WE-L,5,10,0.683,0.213,0.527,WE-L72,Deegan_et_al_2012
WE-L,10,20,0.866,0.204,2.094,WE-L72,Deegan_et_al_2012
WE-L,20,30,0.877,0.169,2.132,WE-L72,Deegan_et_al_2012
WE-L,30,50,0,0.053,4.105,WE-L72,Deegan_et_al_2012
CL-R,0,5,0.793,0.17,0.921,CL-R13,Deegan_et_al_2012
CL-R,5,10,1.65,0.486,1.4,CL-R13,Deegan_et_al_2012
CL-R,10,20,2.617,0.714,2.018,CL-R13,Deegan_et_al_2012
CL-R,20,30,0.131,0.16,1.896,CL-R13,Deegan_et_al_2012
CL-R,30,50,0,0.154,1.836,CL-R13,Deegan_et_al_2012
CL-R,0,5,0.544,0.041,0.446,CL-R18,Deegan_et_al_2012
CL-R,5,10,0.867,0.041,0.252,CL-R18,Deegan_et_al_2012
CL-R,10,20,1.751,0.462,0.181,CL-R18,Deegan_et_al_2012
CL-R,20,30,0.187,0.179,0.392,CL-R18,Deegan_et_al_2012
CL-R,30,50,0.189,0.199,0.739,CL-R18,Deegan_et_al_2012
CL-R,0,5,0.157,0.043,0.635,CL-R24,Deegan_et_al_2012
CL-R,5,10,0,0.05,1.052,CL-R24,Deegan_et_al_2012
CL-R,10,20,0.446,0.243,1.243,CL-R24,Deegan_et_al_2012
CL-R,20,30,0.609,0.428,1.658,CL-R24,Deegan_et_al_2012
CL-R,30,50,0,0.408,3.272,CL-R24,Deegan_et_al_2012
CL-R,0,5,0.29,0.002,0.468,CL-R30,Deegan_et_al_2012
CL-R,5,10,0.655,0.111,1.083,CL-R30,Deegan_et_al_2012
CL-R,10,20,2.393,0.875,1.103,CL-R30,Deegan_et_al_2012
CL-R,20,30,1.18,0.723,1.37,CL-R30,Deegan_et_al_2012
CL-R,30,50,0,0.293,3.387,CL-R30,Deegan_et_al_2012
CL-R,0,5,0.671,0.144,0.81,CL-R36,Deegan_et_al_2012
CL-R,5,10,0.803,0.242,0.71,CL-R36,Deegan_et_al_2012
CL-R,10,20,1.846,0.438,1.341,CL-R36,Deegan_et_al_2012
CL-R,20,30,1.165,0.586,1.711,CL-R36,Deegan_et_al_2012
CL-R,30,50,0.523,0.557,4.247,CL-R36,Deegan_et_al_2012
CL-R,0,5,0.41,0.005,0.659,CL-R40,Deegan_et_al_2012
CL-R,5,10,0.849,0.206,0.987,CL-R40,Deegan_et_al_2012
CL-R,10,20,1.888,0.478,2.945,CL-R40,Deegan_et_al_2012
CL-R,20,30,0.338,0.168,2.351,CL-R40,Deegan_et_al_2012
CL-R,30,50,0.426,0.151,2.843,CL-R40,Deegan_et_al_2012
NE-L,0,5,0.856,0.05,0.799,NE-L2,Deegan_et_al_2012
NE-L,5,10,0.878,0.097,1.429,NE-L2,Deegan_et_al_2012
NE-L,10,20,1.05,0.333,3.632,NE-L2,Deegan_et_al_2012
NE-L,20,30,0,0.124,3.12,NE-L2,Deegan_et_al_2012
NE-L,30,50,0,0.015,6.863,NE-L2,Deegan_et_al_2012
NE-L,0,5,1.06,0.202,2.021,NE-L13,Deegan_et_al_2012
NE-L,5,10,2.288,0.291,1.121,NE-L13,Deegan_et_al_2012
NE-L,10,20,2.019,0.523,2.819,NE-L13,Deegan_et_al_2012
NE-L,20,30,0.345,0.29,2.192,NE-L13,Deegan_et_al_2012
NE-L,30,50,0,0.125,4.835,NE-L13,Deegan_et_al_2012
