study_id,site_id,salinity_class,vegetation_class,vegetation_method,inundation_class
Krauss_et_al_2018,Savannah_River_low_River,oligohaline,emergent,measurement,low
Krauss_et_al_2018,Savannah_River_mid_River,oligohaline,forested,measurement,mid 
Krauss_et_al_2018,Savannah_River_mid_River,oligohaline,emergent,measurement,low
Krauss_et_al_2018,Savannah_River_high_River,fresh,forested,measurement,high
Krauss_et_al_2018,Waccamaw_River_Butler_island_River,oligohaline,FO/SS,measurement,mid 
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high_River,oligohaline,emergent,measurement,low
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_low_River,oligohaline,FO/SS,measurement,low
Krauss_et_al_2018,Waccamaw_River_Richmond_island_River,fresh,forested,measurement,high
