"SUBPID","SAP_AGC","SAP_BGC","SAP_BA"
648,0.00,0.00,0.00
649,0.00,0.00,0.00
650,0.00,0.00,0.00
651,0.00,0.00,0.00
652,0.00,0.00,0.00
653,0.00,0.00,0.00
654,0.00,0.00,0.00
655,0.00,0.00,0.00
656,0.00,0.00,0.00
657,0.00,0.00,0.00
658,0.00,0.00,0.00
659,12.59,0.38,6.0e-03
660,6.15,0.18,3.0e-03
661,0.00,0.00,0.00
662,1.21,0.62,1.0e-03
663,0.00,0.00,0.00
664,0.00,0.00,0.00
665,0.00,0.00,0.00
666,0.00,0.00,0.00
667,0.00,0.00,0.00
668,0.00,0.00,0.00
669,0.00,0.00,0.00
670,0.00,0.00,0.00
671,0.00,0.00,0.00
672,2.12,1.56,2.0e-03
673,1.18,0.86,1.0e-03
674,0.61,0.35,0.00
675,0.00,0.00,0.00
676,0.00,0.00,0.00
677,0.00,0.00,0.00
678,0.00,0.00,0.00
679,0.00,0.00,0.00
680,0.00,0.00,0.00
681,0.00,0.00,0.00
682,0.00,0.00,0.00
683,0.00,0.00,0.00
684,0.00,0.00,0.00
685,0.00,0.00,0.00
686,0.00,0.00,0.00
687,0.00,0.00,0.00
688,0.00,0.00,0.00
689,0.00,0.00,0.00
690,0.00,0.00,0.00
691,0.00,0.00,0.00
692,0.00,0.00,0.00
693,0.00,0.00,0.00
694,0.00,0.00,0.00
695,0.00,0.00,0.00
696,0.00,0.00,0.00
697,7.08,3.46,6.0e-03
698,1.13,0.55,1.0e-03
699,2.54,1.29,4.0e-03
700,0.92,0.50,1.0e-03
701,0.00,0.00,0.00
702,0.00,0.00,0.00
703,0.00,0.00,0.00
704,0.00,0.00,0.00
705,19.70,0.60,9.0e-03
