"SUBPID","TREE_AGC","TREE_BGC","TREE_BA"
648,1206.62,296.75,0.43
649,937.05,36.34,0.32
650,439.29,113.51,0.17
651,6035.41,1536.32,1.20
652,1137.73,52.12,0.41
653,930.82,231.10,0.37
654,354.47,163.64,0.24
655,1176.97,55.74,0.44
656,1962.96,613.92,0.78
657,965.47,334.18,0.40
658,1354.33,290.95,0.40
659,1420.68,319.65,0.41
660,366.83,87.99,0.18
661,974.30,263.53,1.78
662,0.00,0.00,0.00
663,701.14,24.98,0.25
664,962.75,33.34,0.33
665,1244.72,43.41,0.42
666,629.31,21.40,0.22
667,926.50,202.21,0.30
668,919.70,432.40,0.48
669,437.40,82.02,0.19
670,2241.56,545.33,0.54
671,3040.13,335.02,1.17
672,3176.06,834.36,0.74
673,2959.51,744.56,0.65
674,518.41,198.61,0.20
675,934.01,365.27,0.33
676,1268.76,500.16,0.47
677,6177.42,1403.57,1.21
678,844.67,249.86,0.29
679,2407.91,718.47,0.64
680,630.87,205.92,0.25
681,1824.92,602.93,0.58
682,1397.82,497.35,0.51
683,1151.01,319.69,0.39
684,748.94,270.89,0.27
685,703.08,179.87,0.32
686,769.51,127.07,0.27
687,1002.10,72.73,0.24
688,1321.18,113.00,0.40
689,870.99,381.06,0.48
690,973.89,334.77,0.33
691,2863.71,978.50,0.97
692,1927.69,503.48,0.40
693,164.27,72.29,0.11
694,422.79,196.13,0.28
695,224.37,96.19,0.14
696,781.14,86.34,0.26
697,1068.59,302.58,0.32
698,732.49,134.32,0.22
699,300.96,69.15,0.10
700,797.18,269.03,0.27
701,6330.48,1799.75,1.46
702,1691.41,516.57,0.45
703,669.71,22.51,0.20
704,814.36,28.46,0.27
705,1076.13,37.32,0.37
