"ID","SAPID","COMPID","BIOMASS","EQID","C_CONT","C_CONCID","NOTES"
6904,3331,1,8.01,41,4.00,8,
6905,3331,7,0.31,5,0.12,6,
6906,3332,1,5.21,41,2.60,8,
6907,3332,7,0.19,5,0.07,6,
6908,3333,1,8.47,41,4.23,8,
6909,3333,7,0.33,5,0.13,6,
6910,3334,1,9.94,41,4.97,8,
6911,3334,7,0.39,5,0.15,6,
6912,3335,1,3.35,41,1.67,8,
6913,3335,7,0.12,5,0.04,6,
6914,3336,1,2.15,41,1.07,8,
6915,3336,7,0.07,5,0.03,6,
6916,3337,1,9.94,41,4.97,8,
6917,3337,7,0.39,5,0.15,6,
6918,3338,1,0.95,38,0.47,8,
6919,3338,7,0.63,20,0.24,6,
6920,3339,1,0.63,38,0.31,8,
6921,3339,7,0.42,20,0.16,6,
6922,3340,1,1.44,38,0.72,8,
6923,3340,7,0.96,20,0.37,6,
6924,3341,1,3.37,42,1.69,8,
6925,3341,7,3.09,20,1.20,6,
6926,3342,1,1.95,42,0.97,8,
6927,3342,7,1.93,20,0.75,6,
6928,3343,1,2.97,42,1.48,8,
6929,3343,7,2.77,20,1.08,6,
6930,3344,1,1.53,36,0.76,8,
6931,3344,7,1.11,20,0.43,6,
6932,3345,1,0.22,23,0.11,8,
6933,3345,7,0.17,20,0.06,6,
6934,3346,1,2.85,23,1.42,8,
6935,3346,7,1.78,20,0.69,6,
6936,3347,1,0.51,23,0.26,8,
6937,3347,7,0.38,20,0.15,6,
6938,3348,1,0.08,23,0.04,8,
6939,3348,7,0.07,20,0.02,6,
6940,3349,1,1.92,23,0.96,8,
6941,3349,7,1.25,20,0.49,6,
6942,3350,1,7.01,23,3.50,8,
6943,3350,7,4.02,20,1.56,6,
6944,3351,1,0.68,23,0.34,8,
6945,3351,7,0.49,20,0.19,6,
6946,3352,1,0.87,23,0.43,8,
6947,3352,7,0.61,20,0.23,6,
6948,3353,1,2.65,23,1.32,8,
6949,3353,7,1.67,20,0.65,6,
6950,3354,1,0.97,23,0.48,8,
6951,3354,7,0.68,20,0.26,6,
6952,3355,1,2.85,23,1.42,8,
6953,3355,7,1.78,20,0.69,6,
6954,3356,1,2.09,23,1.04,8,
6955,3356,7,1.35,20,0.52,6,
6956,3357,1,,1000,,8,"No biomass equation available."
6957,3357,7,,1001,,6,"No biomass equation available."
6958,3358,1,2.85,23,1.42,8,
6959,3358,7,1.78,20,0.69,6,
6960,3359,1,0.68,23,0.34,8,
6961,3359,7,0.49,20,0.19,6,
6962,3360,1,0.74,23,0.37,8,
6963,3360,7,0.53,20,0.20,6,
6964,3361,1,,1000,,8,"No biomass equation available."
6965,3361,7,,1001,,6,"No biomass equation available."
6966,3362,1,,1000,,8,"No biomass equation available."
6967,3362,7,,1001,,6,"No biomass equation available."
6968,3363,1,0.74,23,0.37,8,
6969,3363,7,0.53,20,0.20,6,
6970,3364,1,0.33,23,0.16,8,
6971,3364,7,0.25,20,0.10,6,
6972,3365,1,1.22,23,0.61,8,
6973,3365,7,0.83,20,0.32,6,
6974,3366,1,7.57,41,3.78,8,
6975,3366,7,0.29,5,0.11,6,
6976,3367,1,8.01,41,4.00,8,
6977,3367,7,0.31,5,0.12,6,
6978,3368,1,9.94,41,4.97,8,
6979,3368,7,0.39,5,0.15,6,
6980,3369,1,8.47,41,4.23,8,
6981,3369,7,0.33,5,0.13,6,
6982,3370,1,9.94,41,4.97,8,
6983,3370,7,0.39,5,0.15,6,
6984,3371,1,5.57,41,2.78,8,
6985,3371,7,0.21,5,0.08,6,
