study_id,site_id,species_code,code_type,habitat
Trettin_et_al_2017,1001,Heritiera littoralis,Genus species,mangrove
Trettin_et_al_2017,1079,Bruguiera gymnorrhiza,Genus species,mangrove
Trettin_et_al_2017,1079,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,1113,Bruguiera gymnorrhiza,Genus species,mangrove
Trettin_et_al_2017,1130,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,1216,Bruguiera gymnorrhiza,Genus species,mangrove
Trettin_et_al_2017,1219,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,1254,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,1254,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,1285,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,1285,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,13,Ceriops tagal,Genus species,mangrove
Trettin_et_al_2017,1305,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,1314,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,1317,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,1359,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,1361,Ceriops tagal,Genus species,mangrove
Trettin_et_al_2017,1382,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,15,Ceriops tagal,Genus species,mangrove
Trettin_et_al_2017,16,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,17,Ceriops tagal,Genus species,mangrove
Trettin_et_al_2017,25,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,26,Ceriops tagal,Genus species,mangrove
Trettin_et_al_2017,27,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,29,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,32B,Sonneratia alba,Genus species,mangrove
Trettin_et_al_2017,35,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,36,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,37,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,806,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,864,Bruguiera gymnorrhiza,Genus species,mangrove
Trettin_et_al_2017,9001,Heritiera littoralis,Genus species,mangrove
Trettin_et_al_2017,9002,Bruguiera gymnorrhiza,Genus species,mangrove
Trettin_et_al_2017,9002,Heritiera littoralis,Genus species,mangrove
Trettin_et_al_2017,9003,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,9003,Sonneratia alba,Genus species,mangrove
Trettin_et_al_2017,9004,Heritiera littoralis,Genus species,mangrove
Trettin_et_al_2017,9005,Heritiera littoralis,Genus species,mangrove
Trettin_et_al_2017,9006,Sonneratia alba,Genus species,mangrove
Trettin_et_al_2017,9006,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,9007,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,9008,Heritiera littoralis,Genus species,mangrove
Trettin_et_al_2017,9009,Bruguiera gymnorrhiza,Genus species,mangrove
Trettin_et_al_2017,9010,Ceriops tagal,Genus species,mangrove
Trettin_et_al_2017,9011,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,9012,Ceriops tagal,Genus species,mangrove
Trettin_et_al_2017,9013,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,9014,Bruguiera gymnorrhiza,Genus species,mangrove
Trettin_et_al_2017,9014,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,9017,Ceriops tagal,Genus species,mangrove
Trettin_et_al_2017,9018,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,9019,Ceriops tagal,Genus species,mangrove
Trettin_et_al_2017,9019,Xylocarpus granatum,Genus species,mangrove
Trettin_et_al_2017,9020,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,9021,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,9022,Avicennia marina,Genus species,mangrove
Trettin_et_al_2017,9023,Rhizophora mucronata,Genus species,mangrove
Trettin_et_al_2017,9024,Heritiera littoralis,Genus species,mangrove
Trettin_et_al_2017,9025,Sonneratia alba,Genus species,mangrove
Trettin_et_al_2017,9027,Ceriops tagal,Genus species,mangrove
