study_id,site_id,core_id,species_code
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_1,Thalassia testudinum
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_2,Thalassia testudinum
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_3,Thalassia testudinum
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_4,Thalassia testudinum
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_5,Thalassia testudinum
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_6,Thalassia testudinum
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_7,Thalassia testudinum
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_8,Thalassia testudinum
Orem_et_al_1999,Florida_Bay,Orem_et_al_1999_8,Thalassia testudinum
Orem_et_al_1999,Florida_Bay,Orem_et_al_1999_2,Thalassia testudinum
Orem_et_al_1999,Florida_Bay,Orem_et_al_1999_4,Thalassia testudinum
Orem_et_al_1999,Florida_Bay,Orem_et_al_1999_6,Thalassia testudinum
Orem_et_al_1999,Florida_Bay,Orem_et_al_1999_7,Thalassia testudinum
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_1,Nanozostera noltii
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_3,Nanozostera noltii
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_5,Nanozostera noltii
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_7,Nanozostera noltii
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_9,Nanozostera noltii
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_11,Nanozostera noltii
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_14,Nanozostera noltii
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_16,Nanozostera noltii
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_19,Nanozostera noltii
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_21,Nanozostera noltii
Fourqurean_et_al_2010,Florida_Keys,Fourqurean_et_al_2010_1,Thalassia testudinum
Fourqurean_et_al_2010,Florida_Keys,Fourqurean_et_al_2010_2,Thalassia testudinum
Fourqurean_et_al_2010,Florida_Keys,Fourqurean_et_al_2010_3,Thalassia testudinum
