study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,age
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_27,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_28,1,9,NA,NA,NA,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_29,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_30,1,9,NA,NA,NA,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_31,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_32,1,9,NA,NA,NA,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_33,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_34,1,9,NA,NA,NA,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_35,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_36,1,9,NA,NA,NA,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_37,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_38,1,9,NA,NA,NA,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_39,0,1,NA,0.017811700711887025,0.1164076,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_40,1,9,NA,0.018414209517459642,0.11605359999999999,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_41,0,1,NA,0.01951492467635024,0.1144882,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_42,1,9,NA,0.018483015300381326,0.10787050000000001,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_43,0,1,NA,0.01826366619832392,0.10506130000000001,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_44,1,9,NA,0.011154161154354556,0.11038830000000001,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_45,0,1,NA,0.009512614104649852,0.07891369,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_46,1,9,NA,0.011021878500501072,0.06867537,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_47,0,1,NA,0.007677801412782532,0.1150521,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_48,1,9,NA,0.013786462706017903,0.0646665,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_49,0,1,NA,0.01466045016077122,0.09133189,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_50,1,9,NA,NA,NA,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_51,0,1,NA,0.009007829859166287,0.10695059999999999,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_52,1,9,NA,0.012706047648137195,0.07012159,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_53,0,1,NA,0.02600415628189555,0.028603450000000002,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_54,1,9,NA,0.005536699869709402,0.004320428,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_55,0,1,NA,0.012193382732162542,0.08990081,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_56,1,9,NA,0.01153288903728064,0.06535782,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_57,0,1,NA,0.008701201097030946,0.1064367,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_58,1,9,NA,0.033952355910144665,0.05144459999999999,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_59,0,1,NA,0.029544273564995883,0.04659422,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_60,1,9,NA,0.04919368594454362,0.06426,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_61,0,1,NA,0.016241847961273134,0.02712208,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_62,1,9,NA,0.06647444409796364,0.10018919999999999,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_63,0,1,NA,0.011807173625225759,0.10587999999999999,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_64,1,9,NA,0.010478337921779936,0.09892,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_65,0,1,NA,0.01155185157449356,0.10611739999999999,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_66,1,9,NA,0.0028155513065646954,0.005888242,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_67,0,1,NA,0.0024095162192691874,0.01127268,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_68,1,9,NA,7.953634356464626e-4,0.004336466,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_69,0,1,NA,0.0025113827063028803,0.01672154,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_70,1,9,NA,-4.214599394940613e-4,0.0016,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_71,0,1,NA,0.002212879827484808,0.00318,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_72,1,9,NA,0.0021158390855782437,0.0039900000000000005,NA
Fourqurean_2012,Bolinao,Kamp-Nielsen_et_al_2002_73,0,1,NA,5.703246456330216e-4,0.00634,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_74,1,9,NA,4.299472927648737e-4,0.00185,NA
