study_id,site_id,core_id,year,core_notes,latitude,longitude,position_method,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Craft_2024,Alt,Alt_L1,2008,L,31.372694,-81.479906,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,levee,field observation,not specified
Craft_2024,Alt,Alt_L2,2008,L,31.372694,-81.479906,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,levee,field observation,not specified
Craft_2024,Alt,Alt_P1,2008,P,31.363414,-81.543244,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,back,field observation,not specified
Craft_2024,Alt,Alt_P2,2008,P,31.363414,-81.543244,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,back,field observation,not specified
Craft_2024,Sat,Sat_L1,2008,L,30.963961,-81.898961,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,levee,field observation,not specified
Craft_2024,Sat,Sat_L2,2008,L,30.963961,-81.898961,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,levee,field observation,not specified
Craft_2024,Sat,Sat_P1,2008,P,30.906931,-81.896192,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,back,field observation,not specified
Craft_2024,Sat,Sat_P2,2008,P,30.906931,-81.896192,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,back,field observation,not specified
Craft_2024,Oge,Oge_L1,2008,L,31.976944,-81.286039,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,levee,field observation,not specified
Craft_2024,Oge,Oge_L2,2008,L,31.976944,-81.286039,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,levee,field observation,not specified
Craft_2024,Oge,Oge_P1,2008,P,32.019133,-81.322753,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,back,field observation,not specified
Craft_2024,Oge,Oge_P2,2008,P,32.019133,-81.322753,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,fresh,field observation,forested,field observation,swamp,back,field observation,not specified
Craft_2024,SNew,SNew_L1,2008,L,31.652411,-81.40195,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,brackish,measurement,forested,field observation,swamp,levee,field observation,not specified
Craft_2024,SNew,SNew_L2,2008,L,31.652411,-81.40195,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,brackish,measurement,forested,field observation,swamp,levee,field observation,not specified
Craft_2024,SNew,SNew_P1,2008,P,31.650439,-81.401006,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,brackish,measurement,forested,field observation,swamp,back,field observation,not specified
Craft_2024,SNew,SNew_P2,2008,P,31.650439,-81.401006,handheld,core locations were estimated from discussion with sampler and figure 1 in published article using google earth,brackish,measurement,forested,field observation,swamp,back,field observation,not specified
