"study_id","site_id","salinity_class","salinity_method","vegetation_class","vegetation_method","COE_REGION","CLASS_FIELD_FWSST","CLASS_FIELD_HGM","HUC10_NAME","MAJ_RIVER_BASIN","SANDT_COAST_REG","STATE_NAME"
"Nahlik_and_Fennessy_2016","NWCA11-1240","palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","FLATS","River Styx","South Atlantic Gulf","Gulf Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-2426","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Lower Ashepoo River","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-1266","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Indian River Lagoon","South Atlantic Gulf","South East Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-1304","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","FLATS","Rice Creek-St. Johns River","South Atlantic Gulf","South East Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-1299","palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","DPRSS","Lake Winder-St. Johns River","South Atlantic Gulf","South East Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-2418","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Beaufort River-Atlantic Intracoastal Waterway","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2432","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","DPRSS","Tobys Creek-Great Pee Dee River","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2407","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","North Edisto River","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-1006","palustrine","field observation","scrub shrub","field observation","Atlantic and Gulf Coastal Plain","PSS","FLATS","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-2434","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Beaufort River-Atlantic Intracoastal Waterway","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2435","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","North Edisto River","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-R067","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Lower Yellow River","South Atlantic Gulf","Gulf Coast Region","Florida"
"Nahlik_and_Fennessy_2016","NWCA11-1002","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1014","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Wolf Bay Frontal","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1011","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Rains Creek-Tensaw River","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-2410","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS",NA,"Coosaw River-Port Royal Sound","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-1105","estuarine","field observation","emergent","field observation","Arid West","E2EM","TIDAL","San Francisco Bay","California","Pacific Coast Region","California"
"Nahlik_and_Fennessy_2016","NWCA11-2402","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Dasher Creek-Savannah River","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2639","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Currituck Sound","South Atlantic Gulf","South East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2637","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Mobjack Bay-Lower Chesapeake Bay","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2536","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Dickinson Bayou","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-2420","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Bulls Bay","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2066","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Oyster Creek-Jarrett Bay","South Atlantic Gulf","South East Coast Region","North Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2025","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","FLATS","Neuse River","South Atlantic Gulf","South East Coast Region","North Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2404","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Bulls Bay","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2412","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Little River","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-2666","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","FLATS","Currituck Sound","South Atlantic Gulf","South East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2653","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","FLATS","Currituck Sound","South Atlantic Gulf","South East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2647","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","RIVERINE","Lower York River","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2634","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Mobjack Bay-Lower Chesapeake Bay","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2651","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Mobjack Bay-Lower Chesapeake Bay","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-2652","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Machipongo River-Hog Island Bay","Mid Atlantic","North East Coast Region","Virginia"
"Nahlik_and_Fennessy_2016","NWCA11-R305","palustrine","field observation","emergent","field observation","Northcentral and Northeast","PEM","DPRSS","Blue Hill-Mount Desert Frontal Drainages","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-R306","palustrine","field observation","emergent","field observation","Northcentral and Northeast","PEM","DPRSS","Frenchman Bay","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-2427","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Great Pee Dee River-Winyah Bay","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-1021","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1017","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1002","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1823","estuarine","field observation","emergent","field observation","Northcentral and Northeast","E2EM","TIDAL","Roque Bluffs Frontal Drainages","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-1824","palustrine","field observation","scrub shrub","field observation","Northcentral and Northeast","PSS","FLATS","Twentyfive Mile Stream","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-2415","palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","DPRSS","South Santee River","South Atlantic Gulf","South East Coast Region","South Carolina"
"Nahlik_and_Fennessy_2016","NWCA11-1836","estuarine","field observation","emergent","field observation","Northcentral and Northeast","E2EM","TIDAL","Schoodic Point-Petit-Manan Point Frontal Drainages","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-1010","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Gulf Coast Region","Alabama"
"Nahlik_and_Fennessy_2016","NWCA11-1203","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Rehoboth Bay","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-2599","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Matagorda Bay","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-2600","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Halls Bayou","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-2582","estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Spindletop Ditch","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-2531","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","East Branch Mad Island Slough-Matagorda Bay","Texas Gulf","Gulf Coast Region","Texas"
"Nahlik_and_Fennessy_2016","NWCA11-1222","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Smyrna River-Delaware Bay","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-1210","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Inland Bays","Mid Atlantic","North East Coast Region","Delaware"
"Nahlik_and_Fennessy_2016","NWCA11-R127","estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Pt Aux Chenes Bay-Mississippi Sound","South Atlantic Gulf","Gulf Coast Region","Mississippi"
"Nahlik_and_Fennessy_2016","NWCA11-R307","palustrine","field observation","scrub shrub","field observation","Northcentral and Northeast","PSS","DPRSS","Stonington Frontal Drainages","New England","North East Coast Region","Maine"
"Nahlik_and_Fennessy_2016","NWCA11-R308","palustrine","field observation","scrub shrub","field observation","Northcentral and Northeast","PSS","RIVERINE","Blue Hill-Mount Desert Frontal Drainages","New England","North East Coast Region","Maine"
