study_id,site_id,core_id,species_code,code_type
Fell_et_al_2021,GTMNERRSouthern,NM1GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM1GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM2GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM2GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM3GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM3GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM4GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM4GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM5GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM5GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM6GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM6GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM1GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM1GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM2GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM2GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM3GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM3GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM4GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM4GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM5GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM5GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM6GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRSouthern,NM6GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC1GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC1GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC2GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC2GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC3GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC3GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC4GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC4GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC5GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC5GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC6GW,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC6GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC1GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC1GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC2GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC2GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC3GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC3GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC4GC,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC4GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC5GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC5GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC6GC,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRMiddle,GC6GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG1GW,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG1GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG2GW,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG2GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG3GW,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG3GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG4GW,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG4GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG5GW,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG5GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG6GW,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG6GW,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG1GC,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG1GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG2GC,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG2GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG3GC,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG3GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG4GC,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG4GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG5GC,Spartina alterniflora,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG5GC,Avicennia germinans,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG6GC,Batis maritima,Genus species
Fell_et_al_2021,GTMNERRNorthern,SG6GC,Avicennia germinans,Genus species
