study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,core_length_flag
Snedden_2021,Breton_Sound_Basin,Breton_1,2008,1,23,29.8342,-89.9522,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_2,2008,2,13,29.7187,-89.9183,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_3,2008,2,14,29.6742,-89.8761,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_4,2008,2,14,29.6464,-89.8588,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_5,2008,2,14,29.628,-89.8241,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_6,2008,1,23,29.8449,-89.8894,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_7,2008,3,28,29.7801,-89.8429,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_8,2008,3,27,29.749,-89.8243,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_9,2008,3,27,29.7091,-89.8053,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_10,2008,2,14,29.6648,-89.7503,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_11,2008,2,20,29.6309,-89.7152,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_12,2008,3,28,29.8439,-89.813,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_13,2008,3,28,29.8147,-89.775,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_14,2008,3,27,29.7715,-89.7306,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_15,2008,3,27,29.7128,-89.7258,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_16,2008,2,20,29.6787,-89.7028,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_17,2008,2,20,29.6321,-89.66,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_18,2013,2,26,29.6639,-89.8741,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_19,2013,2,26,29.6279,-89.8147,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_20,2013,2,26,29.7004,-89.9164,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_21,2013,2,27,29.6246,-89.7844,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_22,2013,2,27,29.6131,-89.7849,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_23,2013,2,27,29.6055,-89.7456,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_24,2013,2,28,29.5895,-89.6134,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
Snedden_2021,Breton_Sound_Basin,Breton_25,2013,2,28,29.6321,-89.6627,other high resolution,specified resolution of 0.0001 degrees,estuarine,field observation,emergent,field observation,marsh,not specified
