study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13
Fu_et_al_2023,S1,S1_C2,single set of methods,0,1,0.77,0.0623,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.45
Fu_et_al_2023,S1,S1_C2,single set of methods,1,2,0.76,0.056900000000000006,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.2
Fu_et_al_2023,S1,S1_C2,single set of methods,2,3,0.76,0.0588,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.11
Fu_et_al_2023,S1,S1_C2,single set of methods,3,5,0.8,0.0638,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.45
Fu_et_al_2023,S1,S1_C2,single set of methods,5,7,0.81,0.06559999999999999,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.07
Fu_et_al_2023,S1,S1_C2,single set of methods,7,9,0.67,0.0675,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15
Fu_et_al_2023,S1,S1_C2,single set of methods,9,11,0.78,0.0693,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.1
Fu_et_al_2023,S1,S1_C2,single set of methods,11,13,0.71,0.0667,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.24
Fu_et_al_2023,S1,S1_C2,single set of methods,13,15,0.86,0.0678,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.92
Fu_et_al_2023,S1,S1_C3,single set of methods,0,1,0.59,0.0542,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.38
Fu_et_al_2023,S1,S1_C3,single set of methods,1,2,0.84,0.0525,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.4
Fu_et_al_2023,S1,S1_C3,single set of methods,2,3,0.81,0.051399999999999994,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.04
Fu_et_al_2023,S1,S1_C3,single set of methods,3,5,0.84,0.051399999999999994,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.98
Fu_et_al_2023,S1,S1_C3,single set of methods,5,7,1,0.051399999999999994,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-16.04
Fu_et_al_2023,S1,S1_C3,single set of methods,7,9,1.01,0.055999999999999994,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.82
Fu_et_al_2023,S1,S1_C3,single set of methods,9,11,0.89,0.0538,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.65
Fu_et_al_2023,S1,S1_C3,single set of methods,11,13,0.85,0.060700000000000004,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,bequerelsPerKilogram,-15.58
