,Latitude,Longitude,accuracy_flag,BD_g_cm3_mean,BD_g_cm3_SD,OC_perc_mean,OC_perc_SD
Grazed,48.02215718,-69.41376057,2,0.36,0.08,9,2
Ungrazed,48.01228166,-69.42554936,2,0.29,0.15,10,4
