study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,excess_pb210_activity,excess_pb210_activity_se,k40_activity,k40_activity_se,c14_age,c14_age_sd,delta_c13,pb210_age,marker_age,marker_age_se,marker_type,marker_notes
Shaw_et_al_2020,GCREW,CB109,0,1,NA,NA,NA,NA,NA,27.75,1.8,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,0,5,CB109_C_0,0.107403433,0.7568630000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,1,2,NA,NA,NA,NA,NA,21.51,1.4,NA,NA,NA,NA,NA,2010.296296,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,2,3,NA,NA,NA,NA,NA,23.99,1.6,13.89461438,8.579241922,NA,NA,NA,2006.592593,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,3,4,NA,NA,NA,NA,NA,22.41,1.5,10.0368831,19.38926359,NA,NA,NA,2002.888889,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,4,5,NA,NA,NA,NA,NA,25.76,1.7,17.52919808,14.68291015,NA,NA,NA,1999.185185,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,5,6,NA,NA,NA,NA,NA,18.23,1.2,19.63191323,12.80905672,NA,NA,NA,1995.481481,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,5,10,CB109_C_5,0.112553648,0.734807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,6,7,NA,NA,NA,0.12,0.31,18.71,1.3,19.23284523,14.9501315,NA,NA,NA,1991.777778,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,7,8,NA,NA,NA,1.2216,1.5148,16.26,1.1,25.39294997,17.05546473,NA,NA,NA,1988.074074,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,8,10,NA,NA,NA,2.7508,0.4552,12.13,0.8,14.10396957,3.932236397,NA,NA,NA,1982.518519,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,8,12,CB109_horizon_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,5,pollution,206Pb:207Pb (decline)
Shaw_et_al_2020,GCREW,CB109,10,12,NA,NA,NA,3.1624,0.7974,8.27,0.7,5.085757091,6.541978404,NA,NA,NA,1975.111111,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,10,15,CB109_C_10,0.119206009,0.747178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
