Site,Latitude,Longitude,Rep,depth,loi,Cinorg,Corg,dbd
Urca,-22.947603,-43.163558,1,0,0.7073791,0.106946162,1.034896084,1.060744444
Urca,-22.947603,-43.163558,1,-6,0.8586238,0.140078322,0.922101601,1.357311111
Urca,-22.947603,-43.163558,1,-12,0.9764268,0.258179468,0.381856459,1.4302
Urca,-22.947603,-43.163558,1,-18,1.180537,1.039943509,1.017850824,1.472311111
Urca,-22.947603,-43.163558,1,-24,0.815439,0,0.038859591,1.367088889
Urca,-22.947603,-43.163558,1,-30,0.7819195,0,0.030873103,1.449977778
Urca,-22.947603,-43.163558,1,-39,0.8565677,0,0.403503716,1.3441
Urca,-22.947603,-43.163558,1,-48,0.7171579,0,0.041425284,1.360333333
Urca,-22.947603,-43.163558,1,-57,4.9761167,0,0.861843705,1.396166667
Urca,-22.947603,-43.163558,1,-66,1.7012563,0,0.489015013,1.447411111
Urca,-22.947603,-43.163558,2,0,0.8161852,0.022931016,0.311269038,1.067944444
Urca,-22.947603,-43.163558,2,-18,1.1949902,0.843719138,0.730470763,1.5765
Urca,-22.947603,-43.163558,2,-39,0.8065278,0,0,1.462855556
Urca,-22.947603,-43.163558,2,-66,1.4210331,0.022268017,0.374209056,1.398566667
Urca,-22.947603,-43.163558,2,-84,2.0318795,0,0.573495746,1.765066667
Urca,-22.947603,-43.163558,3,0,1.471524,0.348529205,0.796006098,1.410477778
Urca,-22.947603,-43.163558,3,-18,0.7168207,0.146479255,0.370239908,1.247633333
Urca,-22.947603,-43.163558,3,-39,0.8171992,0,0.142607972,1.339922222
Urca,-22.947603,-43.163558,3,-66,1.1982782,0,0.4613747,1.308588889
Urca,-22.947603,-43.163558,3,-84,1.2367344,0,0.477165163,1.338088889
Arraial do Cabo,-22.973434,-42.020278,1,0,1.9357099,0.42817096,0.799790461,0.908588889
Arraial do Cabo,-22.973434,-42.020278,1,-3,2.9963386,0.155257371,0.371208402,1.1174
Arraial do Cabo,-22.973434,-42.020278,1,-9,0.7702574,0.076529207,0.258101253,1.260744444
Arraial do Cabo,-22.973434,-42.020278,1,-15,0.7596961,0.085647644,0.25480467,1.315988889
Arraial do Cabo,-22.973434,-42.020278,1,-21,0.6936251,0.0847428,0.505674346,1.347566667
Arraial do Cabo,-22.973434,-42.020278,1,-27,0.7445822,0.298544763,0.258916022,1.327788889
