study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13,be7_activity,be7_activity_se,be7_unit,depth_interval_notes,fraction_nitrogen
Tully_et_al_2024,S,S_9,core,0,2,NA,2.08,0.02,NA,0.67,0.5,becquerelsPerKilogram,48.05,2.95,55.04,2.36,becquerelsPerKilogram,6.99,2.57,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,2,4,NA,2.44,0.02,NA,0.5,0.5,becquerelsPerKilogram,48.88,2.97,55.87,2.39,becquerelsPerKilogram,6.99,3.81,becquerelsPerKilogram,NA,0.67,4.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,4,6,NA,NA,NA,NA,0.83,0.67,becquerelsPerKilogram,42.4,2.77,49.39,2.14,becquerelsPerKilogram,6.99,3.5,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,6,8,NA,NA,NA,NA,1.83,0.67,becquerelsPerKilogram,10.23,1.97,17.22,0.88,becquerelsPerKilogram,6.99,2.16,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,8,10,NA,2.3,0.01,NA,2.83,0.33,becquerelsPerKilogram,13.25,2.01,20.24,0.97,becquerelsPerKilogram,6.99,2.23,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,10,12,NA,NA,NA,NA,1.83,0.5,becquerelsPerKilogram,16.02,2.16,23.01,1.25,becquerelsPerKilogram,6.99,2.49,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,12,14,NA,NA,NA,NA,0.67,0.33,becquerelsPerKilogram,7.49,1.92,14.48,0.78,becquerelsPerKilogram,6.99,2.07,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,14,16,NA,2.34,0.03,NA,0.5,0.33,becquerelsPerKilogram,8.02,1.94,15.01,0.82,becquerelsPerKilogram,6.99,2.11,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,16,18,NA,NA,NA,NA,0,0,becquerelsPerKilogram,4.79,1.9,11.78,0.72,becquerelsPerKilogram,6.99,2.03,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_9,core,18,20,NA,NA,NA,NA,0.5,0.5,becquerelsPerKilogram,2.93,1.88,9.93,0.68,becquerelsPerKilogram,6.99,2,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
