study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag,pb210_cfcs_accretion_rate,pb210_cfcs_accretion_rate_se,cs137_accretion_rate
Tully_et_al_2024,S,S_9,2002,8,1,NA,35.497,-75.651,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.17,0.01,0.23
Tully_et_al_2024,S,S_10,2002,8,2,NA,35.572,-75.886,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.11,0.02,0.23
Tully_et_al_2024,S,S_11,2002,8,2,NA,35.601,-75.877,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.12,0.03,NA
Tully_et_al_2024,S,S_12,2002,8,2,NA,35.515,-75.914,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.31,0.02,NA
Tully_et_al_2024,S,S_22,2002,8,6,NA,35.459,-75.838,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.16,0.02,0.18
Tully_et_al_2024,S,S_23,2002,8,6,NA,35.536,-75.75,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.24,0.02,NA
Tully_et_al_2024,S,S_24,2002,8,6,NA,35.398,-75.76,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.32,0.04,NA
Tully_et_al_2024,S,S_27,2002,8,6,NA,35.287,-75.624,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.09,0.02,NA
Tully_et_al_2024,S,S_30,2002,8,10,NA,35.401,-76.031,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.14,0.04,0.28
Tully_et_al_2024,S,S_31,2002,8,10,NA,35.346,-75.944,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.35,0.03,0.44
Tully_et_al_2024,S,S_32,2002,8,10,NA,35.295,-75.876,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.29,0.01,0.28
Tully_et_al_2024,S,S_41,2002,8,11,NA,35.221,-76.157,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.21,0.02,0.33
Tully_et_al_2024,S,S_42,2002,8,11,NA,35.292,-75.999,estuarine,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.14,0.01,0.18
Tully_et_al_2024,S,S_50,2002,7,31,NA,35.298,-76.423,mesohaline,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.37,0.07,0.45
Tully_et_al_2024,S,S_55,2002,8,1,NA,35.065,-76.527,mesohaline,measurement,unvegetated,field observation,unvegetated,high,field observation,core depth limited by length of corer,0.03,0.01,NA
Tully_et_al_2024,NBP,NBP,2002,12,NA,NA,35.35794,-76.109,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,0.42,0.03,0.24
Tully_et_al_2024,OCR_S1,G1,2002,12,NA,marsh grab,35.14484,-75.8875,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,OCR_S1,G2,2002,12,NA,marsh grab,35.14484,-75.8875,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,OCR_S2,G1,2002,12,NA,marsh grab,35.13136,-75.9231,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,BUX,G1,2002,12,NA,marsh grab,35.2818,-75.5179,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,BUX,G2,2002,12,NA,marsh grab,35.2818,-75.5179,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,BUX,G3,2002,12,NA,marsh grab,35.2818,-75.5179,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,SAL,G1,2002,12,NA,marsh grab,35.53205,-75.4768,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,SAL,G2,2002,12,NA,marsh grab,35.53205,-75.4768,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,SAL,G3,2002,12,NA,marsh grab,35.53205,-75.4768,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,CI,G1,2002,12,NA,marsh grab,35.00663,-76.3196,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,CI,G2,2002,12,NA,marsh grab,35.00663,-76.3196,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,NBP,G2,2002,12,NA,marsh grab,35.35794,-76.109,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,NBP,G3,2002,12,NA,marsh grab,35.35794,-76.109,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
Tully_et_al_2024,NBP,G5,2002,12,NA,marsh grab,35.35794,-76.109,estuarine,field observation,emergent,field observation,marsh,NA,NA,core depth limited by length of corer,NA,NA,NA
