study_id,core_id,core_latitude,core_longitude,position_code,core_elevation,salinity_code,vegetation_code,inundation_class,core_length_flag
Boyd_2012,BBRC_1,39.375811,-75.651786,a1,NA,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,BBRC_2,39.378697,-75.643872,a1,NA,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCBD_1,39.666314,-75.567868,a1,-0.361,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCBD_2,39.66571,-75.559982,a1,-0.372,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCBD_3,39.667368,-75.564615,a1,-0.483,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCBW_1,39.676677,-75.554368,a1,-0.093,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCBW_2,39.672176,-75.552823,a1,0.064,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCBW_3,39.674905,-75.552347,a1,-0.089,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCGB_1,39.655706,-75.574378,a1,0.319,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCGB_2,39.656914,-75.570169,a1,0.225,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCGB_3,39.657391,-75.575393,a1,0.142,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,LC_1,39.145008,-75.423547,a1,0.703,Sal,EM,NA,core depth limited by length of corer
Boyd_2012,LC_2,39.151014,-75.414794,a1,0.668,Sal,EM,NA,core depth limited by length of corer
Boyd_2012,LC_3,39.157496,-75.426916,a1,0.491,Sal,EM,NA,core depth limited by length of corer
Boyd_2012,NCLM_1,39.687158,-75.544244,a1,0.963,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCLM_2,39.686761,-75.542156,a1,0.989,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,NCLM_3,39.686297,-75.540714,a1,0.921,Bra,EM,NA,core depth limited by length of corer
Boyd_2012,PK_1,39.136889,-75.416706,a1,0.871,Sal,EM,NA,core depth limited by length of corer
Boyd_2012,PK_2,39.137907,-75.412275,a1,NA,Sal,EM,NA,core depth limited by length of corer
Boyd_2012,PK_3,39.133195,-75.41131,a1,0.902,Sal,EM,NA,core depth limited by length of corer
