study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10,2,0,5,0.16583237714872862,0.3732102134659243
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10,2,5,10,0.16476427064175636,0.40423372480789865
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10,2,10,15,0.142921138896522,NA
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10,2,15,20,0.16849203308661986,0.28699238019733286
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10,2,20,25,0.15705409784308233,0.3091761036003682
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10,2,25,30,0.1770227380363455,0.3089312486613771
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10,2,30,34,0.34523654470393056,0.24977475609571087
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X1,2,5,10,0.14522004363007163,0.412855214198693
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X1,2,10,15,0.12916307826035595,0.4789321077572595
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X1,2,15,20,0.1080838902419627,NA
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X1,2,20,25,0.12527262409588738,0.3229485339966942
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X1,2,25,30,0.14861534908269872,0.31589489639834767
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X1,2,30,31.5,0.15211675783072043,0.2923557077526695
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X2,2,0,5,0.1581151307970283,0.3847771711264869
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O33,2,0,5,0.09952489108013189,0.6697120708748727
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O33,2,5,10,0.11866592556931717,0.7489937299078164
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O33,2,10,15,0.1794560402773949,0.48867269791365686
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O33,2,15,20,0.3834573095560732,0.22733911791029016
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O33,2,20,25,0.6383174250938949,0.08997509339975451
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O33,2,25,30,1.1046060405880167,0.03916889229712339
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O33,2,30,30.5,2.3866167910757996,0.02036399141235989
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O5,2,0,5,0.13802624020231796,0.427165666890037
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O5,2,5,10,0.09666010210447777,0.48007695829225483
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O5,2,10,15,0.15620527147992555,0.376388819896345
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O5,2,15,20,0.44786908341361975,0.13070650482415402
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O5,2,20,25,0.7980099582157896,0.05456526255670724
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O5,2,25,29,1.2203735778048048,NA
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O5,2,29,31,1.1038810014028202,0.04778452623412477
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_B_O31,2,0,5,0.08075875490134085,0.5057447308474039
van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_B_O31,2,5,10,0.16304539725636388,0.4123509259310332
