site_id,core_id,study_id,impact_class
Wallasea Island Field,Walla_19_1,Burden_et_al_2018,farmed
Wallasea Island Field,Walla_19_2,Burden_et_al_2018,farmed
Wallasea Island Field,Walla_19_3,Burden_et_al_2018,farmed
Wallasea Island Field,Walla_19_4,Burden_et_al_2018,farmed
Brandy Hole Field,Brand_20_1,Burden_et_al_2018,farmed
Brandy Hole Field,Brand_20_2,Burden_et_al_2018,farmed
Tollesbury Field,Tolle_21_1,Burden_et_al_2018,farmed
Tollesbury Field,Tolle_21_2,Burden_et_al_2018,farmed
Tollesbury Field,Tolle_21_3,Burden_et_al_2018,farmed
Tollesbury Field,Tolle_21_4,Burden_et_al_2018,farmed
Tollesbury Field,Tolle_21_5,Burden_et_al_2018,farmed
Tollesbury Field,Tolle_21_6,Burden_et_al_2018,farmed
Tollesbury,Tolle_1_1,Burden_et_al_2018,restored
Tollesbury,Tolle_1_2,Burden_et_al_2018,restored
Tollesbury,Tolle_1_3,Burden_et_al_2018,restored
Tollesbury,Tolle_1_4,Burden_et_al_2018,restored
Orplands,Orpla_2_1,Burden_et_al_2018,restored
Orplands,Orpla_2_2,Burden_et_al_2018,restored
Orplands,Orpla_2_3,Burden_et_al_2018,restored
Orplands,Orpla_2_4,Burden_et_al_2018,restored
Northey MR,North_3_1,Burden_et_al_2018,restored
Northey MR,North_3_2,Burden_et_al_2018,restored
Northey MR,North_3_3,Burden_et_al_2018,restored
Northey MR,North_3_4,Burden_et_al_2018,restored
Barrow Hill,Barro_4_1,Burden_et_al_2018,restored
Barrow Hill,Barro_4_2,Burden_et_al_2018,restored
Barrow Hill,Barro_4_3,Burden_et_al_2018,restored
Barrow Hill,Barro_4_4,Burden_et_al_2018,restored
Ferry Lane (B),Ferry_5_1,Burden_et_al_2018,restored
Ferry Lane (B),Ferry_5_2,Burden_et_al_2018,restored
Ferry Lane (B),Ferry_5_3,Burden_et_al_2018,restored
Ferry Lane (B),Ferry_5_4,Burden_et_al_2018,restored
Wallasea Island,Walla_6_1,Burden_et_al_2018,restored
Wallasea Island,Walla_6_2,Burden_et_al_2018,restored
Wallasea Island,Walla_6_3,Burden_et_al_2018,restored
Wallasea Island,Walla_6_4,Burden_et_al_2018,restored
Northey Island,North_7_1,Burden_et_al_2018,restored
Northey Island,North_7_2,Burden_et_al_2018,restored
Northey Island,North_7_3,Burden_et_al_2018,restored
Northey Island,North_7_4,Burden_et_al_2018,restored
North Fambridge,North_8_1,Burden_et_al_2018,restored
North Fambridge,North_8_2,Burden_et_al_2018,restored
North Fambridge,North_8_3,Burden_et_al_2018,restored
North Fambridge,North_8_4,Burden_et_al_2018,restored
Brandy Hole,Brand_9_1,Burden_et_al_2018,restored
Brandy Hole,Brand_9_2,Burden_et_al_2018,restored
Brandy Hole,Brand_9_3,Burden_et_al_2018,restored
Brandy Hole,Brand_9_4,Burden_et_al_2018,restored
Tollesbury Natural,Tolle_10_1,Burden_et_al_2018,natural
Tollesbury Natural,Tolle_10_2,Burden_et_al_2018,natural
Tollesbury Natural,Tolle_10_3,Burden_et_al_2018,natural
Tollesbury Natural,Tolle_10_4,Burden_et_al_2018,natural
Orplands Natural,Orpla_11_1,Burden_et_al_2018,natural
Orplands Natural,Orpla_11_2,Burden_et_al_2018,natural
Orplands Natural,Orpla_11_3,Burden_et_al_2018,natural
Orplands Natural,Orpla_11_4,Burden_et_al_2018,natural
Northey Natural,North_12_1,Burden_et_al_2018,natural
Northey Natural,North_12_2,Burden_et_al_2018,natural
Northey Natural,North_12_3,Burden_et_al_2018,natural
Northey Natural,North_12_4,Burden_et_al_2018,natural
Barrow Hill Natural,Barro_13_1,Burden_et_al_2018,natural
Barrow Hill Natural,Barro_13_2,Burden_et_al_2018,natural
Barrow Hill Natural,Barro_13_3,Burden_et_al_2018,natural
Barrow Hill Natural,Barro_13_4,Burden_et_al_2018,natural
Ferry Lane (B) Natural,Ferry_14_1,Burden_et_al_2018,natural
Ferry Lane (B) Natural,Ferry_14_2,Burden_et_al_2018,natural
Ferry Lane (B) Natural,Ferry_14_3,Burden_et_al_2018,natural
Ferry Lane (B) Natural,Ferry_14_4,Burden_et_al_2018,natural
Wallasea Island Natural,Walla_15_1,Burden_et_al_2018,natural
Wallasea Island Natural,Walla_15_2,Burden_et_al_2018,natural
Wallasea Island Natural,Walla_15_3,Burden_et_al_2018,natural
Wallasea Island Natural,Walla_15_4,Burden_et_al_2018,natural
North Fambridge Natural,North_16_1,Burden_et_al_2018,natural
North Fambridge Natural,North_16_2,Burden_et_al_2018,natural
North Fambridge Natural,North_16_3,Burden_et_al_2018,natural
North Fambridge Natural,North_16_4,Burden_et_al_2018,natural
Brandy Hole Natural,Brand_17_1,Burden_et_al_2018,natural
Brandy Hole Natural,Brand_17_2,Burden_et_al_2018,natural
Brandy Hole Natural,Brand_17_3,Burden_et_al_2018,natural
Brandy Hole Natural,Brand_17_4,Burden_et_al_2018,natural
