study_id,impact_class,site_id,core_id
Abbott_et_al_2019,tidally restored,1983,1983-1
Abbott_et_al_2019,tidally restored,1983,1983-2
Abbott_et_al_2019,tidally restored,1983,1983-3
Abbott_et_al_2019,tidally restored,1983,1983-4
Abbott_et_al_2019,tidally restored,1983,1983-5
Abbott_et_al_2019,tidally restored,1983,1983-6
Abbott_et_al_2019,tidally restored,1996,1996-1
Abbott_et_al_2019,tidally restored,1996,1996-2
Abbott_et_al_2019,tidally restored,1996,1996-3
Abbott_et_al_2019,tidally restored,1996,1996-4
Abbott_et_al_2019,tidally restored,1996,1996-5
Abbott_et_al_2019,tidally restored,1996,1996-6
Abbott_et_al_2019,tidally restored,C1,C1-1
Abbott_et_al_2019,tidally restored,C1,C1-2
Abbott_et_al_2019,tidally restored,C1,C1-3
Abbott_et_al_2019,tidally restored,C1,C1-4
Abbott_et_al_2019,tidally restored,C1,C1-5
Abbott_et_al_2019,tidally restored,C1,C1-6
Abbott_et_al_2019,tidally restored,C3,C3-1
Abbott_et_al_2019,tidally restored,C3,C3-2
Abbott_et_al_2019,tidally restored,C3,C3-3
Abbott_et_al_2019,tidally restored,C3,C3-4
Abbott_et_al_2019,tidally restored,C3,C3-5
Abbott_et_al_2019,tidally restored,C3,C3-6
Abbott_et_al_2019,tidally restored,C2,C2-1
Abbott_et_al_2019,tidally restored,C2,C2-2
Abbott_et_al_2019,tidally restored,C2,C2-3
Abbott_et_al_2019,tidally restored,C2,C2-4
Abbott_et_al_2019,tidally restored,C2,C2-5
Abbott_et_al_2019,tidally restored,C2,C2-6
Abbott_et_al_2019,tidally restored,C4,C4-1
Abbott_et_al_2019,tidally restored,C4,C4-2
Abbott_et_al_2019,tidally restored,C4,C4-3
Abbott_et_al_2019,tidally restored,C5,C5-1
Abbott_et_al_2019,tidally restored,C5,C5-2
Abbott_et_al_2019,tidally restored,C5,C5-3
